lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
160961				(a)kuː	which (in a sequence)		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		10.5.3	WH words	0
157345				(a)pum	pile up		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		6.2.2.1	Assorted action verbs	0
156548	p,144,6228			(a-ro) kum-či	morning (early~)		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		9.1.4	Times of Day	0
152503				(ba-)nɯŋ	conditional marker		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		10.4.2.1	Mood	0
153428	3570,85,m,1017			(doŋ-ñi) čaŋ-lam	east		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		9.2.8	Directions	0
160917	3570,85,6211,1017			(doŋ-ñi) oŋ-lam	west		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		9.2.8	Directions	0
153010				(i)-ñiŋ	difficult		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		9.6.2	Negative Qualities	0
157720				(i)-tɯ	purposely		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		8.1	Abstract Entities	0
161081				(i)nɯŋ	willing		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		8.3.1.8.1	Willing	0
151077	p,1764,m			(i-kiː) čeː	bark	v	365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		2.1.11.1	Bark (of dog)	0
159547				(ǰaː)kər	strong (tea)		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		9.6.1.1	Positive Qualities	0
160168				(JZ) baː-raŋ	tin		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		3.2.4	Elements, metals, alloys	0
151078				(kiː-men) men	bark	v	365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		2.1.11.1	Bark (of dog)	0
154685	m,1269,m			(large) lɯŋ-pɯ	grinding stone		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		9.5	Change of state	0
160431	m,m,p,6383		2:e	(LW) keː a-ken	twenty-one		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		9.9	Numbers and numeric expression	0
158532				(mi:) a-ku-go	several		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		9.9	Numbers and numeric expression	0
153664	2136,31			(mə)◦mit	extinguish	vi	365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		3.2.12.1	Verbs pertaining to fire	0
160609				(po) haː-ǰa	very		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		7.1.2.2	Degree	0
152292				(pə-taŋ) a-lə	claw		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		1.5.10.4	Claw/Talon/Pincer	0
157587	m,6442			(pɯ-)lɯk	pour		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		6.6	Verbs requiring liquids	0
159678	m,2587			(sam)◦pək	sweep		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		6.2.2.5.3	Sweep	0
154684				(small) pi-tar	grinding stone		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		9.5	Change of state	0
155230				(soː-)men	hunt		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		6.2.2.1	Assorted action verbs	0
158345				(soː-li) peː	saw	v	365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		5.11.5.3	Cutting/Boring	0
154133				(suǒnà) ǰa-liŋ	flute		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		5.1	Waste products	0
153285	502,6405			(tɯŋ-)kum	drunk		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		1.3.5.9	Drink	0
152020	p,2136,6334,m			(ə-mə) gu-ket	catch fire		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		6.21	Acquisitions	0
152320	p,2136,m			(ə◦mə) rɯ	clear field by burning		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		9.6.1.1	Positive Qualities	0
156901				*a-ni	nun		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		4.2.4	Religious Roles	0
153104				*a-raː	distilled liquor		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		6.6	Verbs requiring liquids	0
153148				*am-ǰi	doctor		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		4.2.1.5	Health-care	0
151914	5635			*aŋmuŋ	camel		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		2.2.7	Other Mammals	0
152037				*ba-laŋ	cattle (female)		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		2.1.2	Bovine	0
156297				*baː	mask		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		5.8	Religion	0
155268				*ča-ba	ice		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		3.2.3	Water and other liquids	0
152075				*čak-taː	chain		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		5.1	Waste products	0
161150			5:bTibetan	*čaŋ-ku	wolf		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		2.1.11	Canine	0
153067				*če-dur i	discuss		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani				0
152343				*ču-siː	clock, watch		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		5.11.9.4	Furnishings	0
158653				*čuŋ-kaŋ	shop, store		365	Bokar	73	1.1.1.1	Western Tani	Sun J 93 Tani	JS-Tani		9.10.6	Functional buildings/places	0
