lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
392788				an⁵⁵	we (two)	pron	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	0929.19	4.1	Pronouns	0
392839				an⁵⁵ the³³	we	pron	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	0930.19	4.1	Pronouns	0
375206			5:bChinese	an⁵⁵tse³¹	saddle	n	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	0588.19	5.14	Husbandry	0
415230				ap³¹ to̱n³¹	deposit / leave with	v.	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1408.19	10.1.1	Prepositions	0
422784			65:m,65:5821	a³¹ ko̱k³¹	knock / strike	v.	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1571.19	6.8	Striking, hitting verbs	0
423850				a³¹ nut³¹	knead (dough)	v.	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1594.19	5.5	Cooking Implements	0
401889				a³¹kam³³	polite / courteous		1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1109.19	6.19	Social action	0
432282				a³¹khaŋ⁵⁵ tʃoʔ³¹	permit / allow	v.	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1773.19	6.19	Social action	0
381017				a³¹kju̱⁵⁵	advantage / benefit	n	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	0700.19	8.1	Abstract Entities	0
405988				a³¹kʒoʔ³¹	rinse / flush		1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1200.19	6.6	Verbs requiring liquids	0
418615				a³¹kʒo̱ʔ⁵⁵	dig out with finger	v.	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1482.19	6.11	Digging, excavation	0
379811				a³¹mu⁵⁵	matter / affair	n	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	0677.19	8.1	Abstract Entities	0
415052				a³¹nin³¹	press (a tube of toothpaste)	v.	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1404.19	9.5	Change of state	0
415096				a³¹nin³¹	squeeze (for milk)	v.	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1405.19	9.5	Change of state	0
398063				a³¹pa̱ʔ⁵⁵	thick (porridge)		1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1030.19	9.7.2	Verbs referring to size/shape	0
431758	p,4143			a³¹phum⁵⁵	embrace / hug	v.	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1762.19	8.4	Feeling	0
429851	p,2589			a³¹pja³¹	hang down / droop	v.	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1720.19	6.1.1.5	Hang	0
404987				a³¹pje̱n⁵⁵	support s.b. with one's hand		1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1177.19	1.5.3.2	Five	0
364513				a³¹pum³¹	bud	nveg	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	0381.19	3.1.4	Seeds and flowers, nuts	0
419516				a³¹pu̱p⁵⁵	drench	v.	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1501.19	6.6	Verbs requiring liquids	0
405952				a³¹pʒoʔ³¹	charge / sprint (in the front)		1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1199.19	6.7.9	Manner is primary	0
380234				a³¹sak³¹	age	n	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	0685.19	9.1.2	Months and Years	0
353644				a³¹sak³¹kă³¹pa³¹	adult	n	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	0168.19	4.2.11	Stages of growth	0
399449				a³¹sak³¹kă³¹pa³¹	old / elderly		1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1058.19	7.1.8.3	Neutral term	0
399499				a³¹sak³¹ʒam³³	young		1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1059.19	7.1.8.3	Neutral term	0
382971				a³¹te̱n³¹	time	n	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	0737.19	9.1.5	Other Intervals	0
412405				a³¹thu³¹	hurt (the foot from grit in the shoe)	v.	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1344.19	10.1.1	Prepositions	0
421788				a³¹thu³¹ a³¹ koŋ³¹	collide / run into	v.	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1550.19	6.8	Striking, hitting verbs	0
406900				a³¹tup³¹	beat / thump		1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1220.19	6.8	Striking, hitting verbs	0
374593				a³¹tu̱⁵⁵	interest (financial)	n	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	0576.19	8.3.2.6.1	Admire	0
434153				a³¹tʃe̱ʔ⁵⁵	peck at (rice; of a chicken)	v.	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1814.19	1.5.3.2	Five	0
406950				a³¹tʃo̱ʔ⁵⁵	jab / poke / stab		1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1221.19	6.9.2	Carve, shave	0
402072				a³¹ŋok³¹	clumsy / awkward		1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1113.19	9.6.2.2	Negative Human Qualities	0
426524				a³¹ʃep³¹	tear up / rip	v.	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1650.19	1.8.8.1	Laugh/Smile	0
374490				a³¹ʒaŋ⁵⁵	capital / principal	n	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	0574.19	9.10.3	Governable units (towns, parts of towns)	0
421657				a³¹ʒaŋ⁵⁵ sum⁵⁵	sustain losses (in business)	v.	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1547.19	5.8	Religion	0
404672				a³¹ʒut³¹	scratch (an itch against sthg.)		1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1170.19	1.6.5.5	Itch/Scratch	0
419787				aŋ³¹	s.b.'s turn	be v.	1814	Jingpho	37	1.7.3.1	Jingpho	Huang and Dai 92 TBL	TBL	1507.19	1.5.3.2	Five	0
