lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
382470	2473			(mau³¹) thai³⁵	under (the sky)	prep	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0727.32	9.2.2	Down	0
382416	2473			(mau³¹khauŋ⁵⁵) khja⁵	in (the sky)	prep	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0726.32	10.1.1	Prepositions	0
382625				(pam⁵⁵) khji⁵⁵	at the bottom of (a hill)	prep	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0730.32	10.0	Grammatical Words	0
387688				(tă³¹) ja⁵⁵van³⁵	million	num	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0829.32	9.9	Numbers and numeric expression	0
387635			5:m,5:m,5:bChinese	(tă³¹) thai⁵⁵van³⁵	one hundred thousand	num	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0828.32	9.9	Numbers and numeric expression	0
387739			5:m,5:bChinese,5:bChinese	(tă³¹) tʃhɛn³⁵van³⁵	ten million	num	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0830.32	9.9	Numbers and numeric expression	0
423174				ai⁵⁵	go / leave	v.	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1579.32	6.7.2	Outward	0
375219			5:bChinese	an³⁵tsɛ⁵¹	saddle	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0588.32	5.14	Husbandry	0
420267				auŋ³⁵	sell	v.	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1517.32	6.22	Exchanges	0
431679	5698			auŋ⁵⁵	win	v.	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1760.32	6.19	Social action	0
382731				a³¹a⁵⁵	below / under	prep	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0732.32	9.2.2	Down	0
382251				a³¹a⁵⁵khja⁵⁵	lower part of / lower reaches	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0723.32			0
382833				a³¹a⁵⁵mɛ⁵⁵	downwards	adv	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0734.32	9.2	Spatial terms	0
399613				a³¹jauŋ³⁵	ugly		1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1061.32	7.1.3	Human qualities and appearance	0
348447	p,1612			a³¹ja̱m⁵⁵	household	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0067.32	5.11.9.6	General	0
381500				a³¹jɛ̃⁵⁵	side	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0709.32	1.4.5	Sides	0
381982				a³¹jɛ̃⁵⁵	edge / rim / margin	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0718.32	9.2.7	Extent	0
382034				a³¹jɛ̃⁵⁵	surroundings	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0719.32			0
399204				a³¹kai⁵⁵	bad		1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1053.32	9.6.2.1	Negative Qualities	0
381445				a³¹kauŋ³¹	middle	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0708.32	1.9.4	Breast	0
346838				a³¹khauŋ³⁵	pit	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0036.32	3.1.2	Plant parts and types	0
381822				a³¹khau⁵⁵	inside	n/adv	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0715.32	9.2.5	Amid	0
382984	p,5561			a³¹khjiŋ³⁵	time	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0737.32	9.1.5	Other Intervals	0
385439				a³¹khui⁵⁵	present, the (time)	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0785.32	5.8	Religion	0
385544				a³¹khui⁵⁵mɛ̃⁵⁵	future	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0787.32	9.1.5	Other Intervals	0
385491				a³¹khui⁵⁵u³¹	recently / lately	adv	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0786.32	9.1.5	Other Intervals	0
380768				a³¹khɔ⁵⁵	mark / trace / track	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0695.32	6.2.2.2	Move an object	0
383390				a³¹khə̆³¹mjɔn³⁵	tonight	n/adv	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0745.32	9.1.4	Times of Day	0
383036				a³¹khə̆³¹nɛʔ³¹	today	n/adv	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0738.32	9.1.3	Days	0
385082				a³¹khə̆³¹tɛ̃⁵⁵	this year	n/adv	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0778.32	10.4.3.2	Demonstrators	0
348293				a³¹kja³¹	place	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0064.32	9.10.5	Places in general, countries	0
379935				a³¹kja̱ŋ⁵⁵	temper	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0679.32	8.3	Psychological verbs	0
382138				a³¹kja̱⁵⁵	boundary line / demarcation line	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0721.32	9.7.1	Shape and size	0
380664				a³¹kuŋ³¹	gap / crevice	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0693.32	3.2.7	Cracks/Chasms/Crevices	0
357051				a³¹kɔn⁵⁵	uncle <father's younger brother>	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0232.32	4.7.1	Previous generation	0
394556				a³¹la̱p⁵⁵	all / everything	num	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0962.32	9.9	Numbers and numeric expression	0
360603	p,363			a³¹mau³⁵	feather / plume	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0299.32	1.6.1.1	Feather	0
356847				a³¹mauŋ⁵⁵	younger brother (address by o. sister)	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0228.32			0
365757	p,2463			a³¹mjuŋ³¹	seed	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0405.32	3.1.4	Seeds and flowers, nuts	0
379824				a³¹mu³⁵	matter / affair	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0677.32	8.1	Abstract Entities	0
356693				a³¹mɔ³¹	elder brother	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0226.32	4.7.1	Previous generation	0
373084				a³¹mə̱i³⁵	lid / cover	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0547.32	5.1	Waste products	0
383492				a³¹mɛ̃⁵⁵	yesterday evening / last night	n/adv	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0747.32	9.1.4	Times of Day	0
385132				a³¹na̱k⁵⁵	last year	n/adv	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0779.32	9.9	Numbers and numeric expression	0
356320				a³¹nuŋ⁵⁵	mother	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0219.32	4.7.1	Previous generation	0
357972				a³¹nuŋ⁵⁵	stepmother	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0249.32	4.7.1	Previous generation	0
357312				a³¹pai³¹	sister-in-law <elder brother's	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0237.32	1.5.3.2	Five	0
356757				a³¹pai³¹ˉ⁵¹	elder sister	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0227.32	4.7.1	Previous generation	0
380822				a³¹pɛ̱ʔ⁵⁵	dregs / sediment	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0696.32	3.1.6.2	Other ground and milled food	0
380247				a³¹sak³¹	age	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0685.32	9.1.2	Months and Years	0
399481				a³¹sak³¹kɔ̱³⁵	old / elderly		1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1508.32	7.1.8.3	Neutral term	0
