lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
416304				(chi⁵⁵) su¹³²	bark	v.	1815	Tibetan (Lhasa)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1432.02	2.1.11.1	Bark (of dog)	0
391785				(Cuk¹³pa⁵² tɕi⁵²)	classifier for sticks	clf	1815	Tibetan (Lhasa)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0843.02	10.1.3	Classifiers	0
423606				(ji¹³ ki⁵⁵) lop⁵²	look at and distinguish (characters)	v.	1815	Tibetan (Lhasa)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1589.02	1.2.6.11	Behold	0
390053				(ji¹³ki⁵⁵) (tɕi⁵²)	classifier for letters	clf	1815	Tibetan (Lhasa)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0888.02	10.1.3	Classifiers	0
425627				(khaŋ⁵⁵pa³⁵) ty¹³²	put in order / tidy	v.	1815	Tibetan (Lhasa)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1632.02	6.17	Putting	0
431279	386,m			(ko¹³) ju⁵²	shake (one's head)	v.	1815	Tibetan (Lhasa)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1752.02	6.7.9	Manner is primary	0
396126				(ko¹³) ma⁵⁵ ra	bald / bare	adj	1815	Tibetan (Lhasa)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0993.02	1.2.3.4	Bald	0
391685				(ko¹³ŋa⁵⁵ tɕi⁵²)	classifier for eggs	clf	1815	Tibetan (Lhasa)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0841.02	10.1.3	Classifiers	0
417733				(laŋ⁵⁵koː⁵⁵) taŋ⁵⁵	start / drive (a car)	v.	1815	Tibetan (Lhasa)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1464.02	9.5	Change of state	0
413319	m,2504			(lo¹³ȵiː⁵⁵) tɕhĩ⁵²	go by (two years) / pass	v.	1815	Tibetan (Lhasa)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1364.02	6.7.2	Outward	0
416400				(lu¹³²) pa¹³	baa / bleat	v.	1815	Tibetan (Lhasa)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1434.02	2.1.8	Ovine and Hircine	0
428310				(ly¹³pə⁵⁵) cu⁵²	spit	v.	1815	Tibetan (Lhasa)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1688.02	1.8.3	Spit/Saliva	0
388978				(me¹³to⁵² tɕi⁵²)	classifier for flowers	clf	1815	Tibetan (Lhasa)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0861.02	10.1.3	Classifiers	0
387964				(mi¹³ tɕi⁵²)	classifier for people	clf	1815	Tibetan (Lhasa)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0835.02	10.1.3	Classifiers	0
416534				(miŋ¹³) seː¹³	called, be / named	v.	1815	Tibetan (Lhasa)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1437.02	8.5.13	Beckon	0
431066	5434,m			(mɛ̃⁵⁵) nur⁵⁵	grind / pestle (medicine)	v.	1815	Tibetan (Lhasa)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1747.02	9.5	Change of state	0
429154				(o¹³ ma⁵⁵) teː⁵⁵	breastfeed / suckle	v.	1815	Tibetan (Lhasa)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1706.02	1.4.4.3	Chest	0
416172				(phoŋ¹³ku⁵⁵) ŋaː¹³	bray	v.	1815	Tibetan (Lhasa)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1429.02	8.5.4.1	Loud	0
388015				(phoː⁵⁵pa⁵⁵ tɕi⁵²)	classifier for bowls	clf	1815	Tibetan (Lhasa)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0836.02	10.1.3	Classifiers	0
