lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
49045				'baw	elder son / brother		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		4.7.1	Previous generation	0
49028	570,m			'ba◦lam	shoulder blade		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		1.4.3	Shoulder	0
49395	506			'der	nail, claw, hoof		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		1.5.10	Nail	0
49690			9:R	'jal	mouse		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		2.1.1	Rodents	0
49988				'khrem	covering		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		5.8	Religion	0
50988				'kosi	walnut		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		3.1.4	Seeds and flowers, nuts	0
50010	2408			'lə	leech		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		2.2.6	Insects, Arachnids, and Worms	0
50150	1288			'mer	tail		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		1.4.10.1	Tail	0
50185	1420			'mur	smell		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		1.2.8.5	Smell	0
50220				'nem	day		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		1.5.3.2	Five	0
50546				'ruku	divinitory faculty <divination		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		5.8.1.1	Deities/Spiritual Beings	0
50598				'saw	tiger		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		2.1.3	Feline	0
50690				'seor	bee		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		2.2.6	Insects, Arachnids, and Worms	0
50616	234			'ser	bone		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		1.6.3	Bone	0
147018				'siuŋkhra	containers for household gods [sic]		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		5.1	Waste products	0
50701	2666			'su	three		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.9	Numbers and numeric expression	0
50866				'waye	lowlands (?plain, valley)		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		3.2.5	Landforms and geographical features	0
50012				(t)-	take	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		6.21	Acquisitions	0
49246				-ceo	small		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.7.2	Verbs referring to size/shape	0
146692				-cet-	pretend, to feign, to make as if to	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.1.1	Prepositions	0
49431				-du	place (where something grows)		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.10.5	Places in general, countries	0
49648				-hombu	side		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		1.4.5	Sides	0
146798				-ka	ERGATIVE/INSTRUMENTAL/ADVERBIAL [suffix]		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.4.2.4	Aspect, (in)transitivity, ergativity, causativity	0
49689				-kum	bean		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		3.1.4	Seeds and flowers, nuts	0
50018				-la	NOMINAL [suffix to verbs]	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.4.2.7	Nominalizers	0
50033	1017			-lam	from		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.1.1	Prepositions	0
50034				-laŋka	via		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.10.5	Places in general, countries	0
50053				-leleak-	wash (vessels)	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		6.2.2.5.2	Wash (v.i./v.t.)	0
50058				-lem	day		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		1.5.3.2	Five	0
50071				-let-	engaged in <do,busy>		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		6.2.2.1	Assorted action verbs	0
50090				-lo	time [?age, period]		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.1.5	Other Intervals	0
146865				-loa(t)-	<finish> ASPECT, sometimes expressing		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung				0
50113				-loŋ	quantity (suffix)		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.9	Numbers and numeric expression	0
50112				-luŋ	QUANTITY [SUFFIX]		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.9	Numbers and numeric expression	0
49505				-ma	ill, weak		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		1.1.5.1	Sick/Hurt/Ache	0
49617				-mo	hiccup		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		1.8.3.5	Hiccup	0
49663				-pa	hole		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		3.2.7	Cracks/Chasms/Crevices	0
146943				-pu	[SUFFIX in bird and place names]		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung				0
50562				-sasoaːca	I don't know		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		4.1	Pronouns	0
50620				-ser	crops	?	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		1.7.6.1	Gizzard/Crop	0
50624				-set-	ASPECT		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.0	Grammatical Words	0
50633				-si	tree-name suffix <plant>		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		3.1.2	Plant parts and types	0
50632				-si	ADVERBIAL suffix		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.2.1	Grammatical identifiers	0
50650				-si(t)-sit- (TE)	give fruit	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		6.23	Giving	0
50712				-siu	SUFFIX in animal names		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.4	Affixes	0
50666				-so(t)-	ASPECT ?		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.0	Grammatical Words	0
147044				-tha(t)-	ASPECT (indicating disposal, putting away)		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.0	Grammatical Words	0
50782				-thal-	do habitually (ASPECT)	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		6.1.1.1	To do/act	0
50776				-tham	since, from (time) (bm)		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.1.2.2	Subordination	0
50813				-theo	towards		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.2.8	Directions	0
50802				-thi	QUANTITY		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.9	Numbers and numeric expression	0
50806				-thi(t)-	ASPECT		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.0	Grammatical Words	0
50769				-thə	year		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.1.2	Months and Years	0
50803				-ti	QUANTITY		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.9	Numbers and numeric expression	0
50842				-wa	elder sibling, elder brother		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		4.7.1	Previous generation	0
49998				-wa	thief		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		4.2.12.1	Criminals	0
50853				-wal-	do habitually (ASPECT)	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		6.1.1.1	To do/act	0
49664				-ya	hole		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		3.2.7	Cracks/Chasms/Crevices	0
50843				-yawa	elder sibling, elder brother		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		4.7.1	Previous generation	0
50917				-yu	down at, down to	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.2.2	Down	0
50248				-ŋəŋa-	old, important		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		7.1.8.3	Neutral term	0
48992				a	VOCATIVE (suffix)		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.4.1.1	Grammatical case	0
49570				ala	up, above		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.2.1	Up	0
48995	3507			als-	fall, fall off	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		6.1.1.4.2	Fall	0
48996				am-	put to sleep, to deceive	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.1.1	Prepositions	0
48997				an-	drop	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		6.16	Holding	0
48998				ar-	tingle, hot (of timur)	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		8.4	Feeling	0
50774				atha	now, yet, still		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.1.5	Other Intervals	0
49649				athehombu	this side, on this side	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.4.3.2	Demonstrators	0
50770				athə	this year		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.4.3.2	Demonstrators	0
146649				ayebə-	become smelly (beer); ? to ferment	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.5	Change of state	0
49016	3599			b(a)-	be, stay, sit	be v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.4.1.1	Grammatical case	0
146657				b(e)-	make, to do, to put, to say, to copulate with	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.1.1	Prepositions	0
49012				ba	where?		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.5.3	WH words	0
49020				babakul	crane, ?eagle		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		2.2.4.1	Particular birds	0
49021				bachium	prayer, invocation		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		5.8.3.1	Religious Events	0
49022				bagmakhor bomu	crawl on all fours	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.9	Numbers and numeric expression	0
49023				baji (ŋ)	Brahman, Chhetri		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		4.6	Ethnonyms/Place names	0
49018				bakhop	lodgings		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		5.11.9.1	Kinds of dwellings	0
49024				baksiluŋ (ŋ?)	flint for striking light		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		3.2.9	Rocks and minerals	0
49052	1325			bal	spleen		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		1.7.4	Spleen	 1
146653				bal-	catch, to entangle, to wind around	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.1.1	Prepositions	0
168040				balsi-	distracted	vs.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		8.3	Psychological verbs	0
49013				bam	which?		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.5.3	WH words	0
49029				ban-	wear (ornaments)	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		6.2.2.1	Assorted action verbs	0
146656				ban-	collect en route, to take, to bring (with v of motion)	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.1.1	Prepositions	0
49015				bantem	from where		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.1.1	Prepositions	0
49014				bantheo	where?, whither?		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.5.3	WH words	0
146654				bar	thickened part of a fowl's mesentery, consulted in divination		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.1.1	Prepositions	0
49035				bara	jackfruit		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		3.1.5	Fruits and vegetables	0
146655				baraŋ	fruit of Bauhinia valhii, used as medicine		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		3.1.5	Fruits and vegetables	0
49081				bare	around		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.2.5	Amid	0
49037				basi	already, previously, before		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.1	Ontological	0
49017				basi-	necessary <need>	v.i.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.6.2	Negative Qualities	0
49039				basinta	last night		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.9	Numbers and numeric expression	0
49038				basta	yesterday		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.1.3	Days	0
49040				bat-	join	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		6.13.5	Join (general)	0
147083				batraŋsi	tree sp. (twigs used in seance, sap edible)		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung	246	3.1.2	Plant parts and types	0
49046				baya	land, earth, floor of house		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		3.2.5	Landforms and geographical features	0
49047				baysi	spindle		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		5.1	Waste products	0
147082				baːsi	tree sp. (twigs used in seance, sap edible)		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung	246	3.1.2	Plant parts and types	0
49044				baːther	thunderbolt		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		3.2.1	Weather and seasons	0
49033	m,707			ba◦phlem	wing (arch.)		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		1.5.1.3	Wing	0
146658				beaks-	break on stretching (of a rope)	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.5	Change of state	0
49063				beaŋsi (ŋ)	irrigated field		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		6.6	Verbs requiring liquids	0
49064				beaŋwaci	brinjal (=eggplant)		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		3.1.5	Fruits and vegetables	0
49049				becike	bamboo shoots (ke = curry)		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		3.1.1	Names of trees and shrubs	0
49051	1325			bel	spleen		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		1.7.4	Spleen	 2
49004	x			bel(u)wa	sickle with smooth edge		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		5.3	Diseases	0
49053				bele	well, thoroughly		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.6.1.1	Positive Qualities	0
49056				belemciu	knowledgeable (rare)		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.6.1.2	Positive Human Qualities	0
49057				belepma	plant with edible shoots		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		3.1.10	Verbs involving plants	0
49058				beljam	plant with edible shoots		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		3.1.10	Verbs involving plants	0
146659				belsi	plant, the seeds used in ritual		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		3.1.10	Verbs involving plants	0
49060				belwabem	slug <larva>		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		2.2.6	Insects, Arachnids, and Worms	0
146660				bemsi-	wear around the waist (belt), to gird on (khukuri)	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.1.1	Prepositions	0
49062				beno	ox		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		2.1.2	Bovine	0
49065				bep	grandfather		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		4.7.1	Previous generation	0
49067				bephermu	butterfly, moth		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		2.2.6	Insects, Arachnids, and Worms	0
49068				bephum	bamboo, esp. as firewood		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		3.1.1	Names of trees and shrubs	0
50091				beplo	old age		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		7.1.8.3	Neutral term	0
49069				beruli	pair of close friends		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.9	Numbers and numeric expression	0
146661				bet-	affect, to afflict, to <do>, to get done		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.1.1	Prepositions	0
49071				betho	khukuri (knife)		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		5.5	Cooking Implements	0
49066	1006,1634			be◦pha	boar, male pig		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		2.1.12	Porcine	0
49030				bha(t)-	wear (ornaments)	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		6.2.2.1	Assorted action verbs	0
49072				bhal	over there, far		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.2.1	Up	0
49074				bhalŋa	later		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.1.5	Other Intervals	0
49078				bham	skin (arch)		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		1.6.5	Skin	0
49075				bham-	catch, snag	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		6.21	Acquisitions	0
49079				bhano	towards		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.2.8	Directions	0
49076				bhap-	catch, snag	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		6.21	Acquisitions	0
49082				bhapa	wide, spacious		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.7.2	Verbs referring to size/shape	0
49077				bhapwalpa	clumsy		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.6.2.2	Negative Human Qualities	0
49080				bhare	around		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.2.5	Amid	0
49083				bhendarani (ŋ)	tomato		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		3.1.5	Fruits and vegetables	0
49043				bhoat-	cook by boiling (rice, potato)	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		5.5	Cooking Implements	0
146662				bhop-	<close> to stop, to shut in, to fence out		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung	193	10.1.1	Prepositions	0
146664				bhreos-	tear (of cloth), to break off (of fruit / leaf)	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.1.1	Prepositions	0
49087				bhuliuliu(m)	thunder		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		3.2.1	Weather and seasons	0
146665				bhum	bamboo tube for blowing the fire		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		3.1.1	Names of trees and shrubs	0
146667				bhur-	abuse, to scold, to be angry with	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.1.1	Prepositions	0
49091	m,366,m			bhu◦sium◦poa	brown hairy caterpillar		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		9.4	Colors	0
49093				bi-	ask for, beg	v.	1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		8.5.7.1	Ask	0
146668				bi-	<break> to burst, to crack (egg, vessel, sole of foot)		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		10.1.1	Prepositions	0
49095				biDa	leech		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		2.2.6	Insects, Arachnids, and Worms	0
49096				biduri	fisherman's basket		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		4.2.1.1	Agriculture/Husbandry/Hunting	0
49097				bijje	Indian hemp		1545	Thulung	30	2.3.4	Western Kiranti	Allen 75	NJA-Thulung		4.6	Ethnonyms/Place names	0
