lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
269170				'āen-ne	say		752	Khaling	77	2.3.3	Central Kiranti	Hale 73 CSD	AH-CSDPN	01.071	1.8.7	Speak/Say/Tell	0
269017				'am-si-ne	sleep	v	752	Khaling	77	2.3.3	Central Kiranti	Hale 73 CSD	AH-CSDPN	01.060	1.1.4.1	Sleep/Be asleep	0
266766				'bhāebāel	horizontal	adj	752	Khaling	77	2.3.3	Central Kiranti	Hale 73 CSD	AH-CSDPN	12c.13	7.1.5.4	Position - front/back/side-side	0
264959				'bhāel	four		752	Khaling	77	2.3.3	Central Kiranti	Hale 73 CSD	AH-CSDPN	09.02	9.9	Numbers and numeric expression	0
265177				'bhāelkhāel	eighty		752	Khaling	77	2.3.3	Central Kiranti	Hale 73 CSD	AH-CSDPN	09.20	9.9	Numbers and numeric expression	0
266623				'bhāeppāe	broad	adj	752	Khaling	77	2.3.3	Central Kiranti	Hale 73 CSD	AH-CSDPN	12c.03	7.1.5.1	General - form	0
260919				'bhangpāe	lenient	adj	752	Khaling	77	2.3.3	Central Kiranti	Hale 73 CSD	AH-CSDPN	12a.38	9.6.3	Neutral	0
270608				'bhepcō	grub (insect)	n	752	Khaling	77	2.3.3	Central Kiranti	Hale 73 CSD	AH-CSDPN	03a.078	2.2.6	Insects, Arachnids, and Worms	0
265957				'bhōl mu-gōpāe	weakness	n	752	Khaling	77	2.3.3	Central Kiranti	Hale 73 CSD	AH-CSDPN	10a.24	1.1.5	Strength	0
264971				'bhōm	five		752	Khaling	77	2.3.3	Central Kiranti	Hale 73 CSD	AH-CSDPN	09.03	9.9	Numbers and numeric expression	0
