lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
389140				(a) bjɛ	classifier for garments	clf	1807	Daofu	35	3.3	rGyalrongic	Huang and Dai 92 TBL	TBL	0864.12	10.1.3	Classifiers	0
391490				(a) bɛr	step / stride	clf	1807	Daofu	35	3.3	rGyalrongic	Huang and Dai 92 TBL	TBL	0916.12	6.7.4	Regular, Cyclic, Smoothly	0
390728				(a) cçə	span (thumb to middle finger)	clf	1807	Daofu	35	3.3	rGyalrongic	Huang and Dai 92 TBL	TBL	0901.12	1.5.9.4	Span/Handspan	0
390879				(a) dur	team (of oxen)	clf	1807	Daofu	35	3.3	rGyalrongic	Huang and Dai 92 TBL	TBL	0904.12	10.1.1	Prepositions	0
390218				(a) dɛ nbə	bottle (of wine)	clf	1807	Daofu	35	3.3	rGyalrongic	Huang and Dai 92 TBL	TBL	0891.12	5.1	Waste products	0
392208				(a) dʑi	meal	clf	1807	Daofu	35	3.3	rGyalrongic	Huang and Dai 92 TBL	TBL	0918.12	5.5	Cooking Implements	0
388381				(a) grɛn	line (of wheat)	clf	1807	Daofu	35	3.3	rGyalrongic	Huang and Dai 92 TBL	TBL	0850.12	9.7.1	Shape and size	0
391948				(a) grɛn	team / line (of people (&animals))	clf	1807	Daofu	35	3.3	rGyalrongic	Huang and Dai 92 TBL	TBL	0882.12	4.5	Other Collective terms	0
392000				(a) grɛn	row (of houses)	clf	1807	Daofu	35	3.3	rGyalrongic	Huang and Dai 92 TBL	TBL	0883.12	6.2.2.1	Assorted action verbs	0
388076				(a) gə	classifier for river	clf	1807	Daofu	35	3.3	rGyalrongic	Huang and Dai 92 TBL	TBL	0837.12	10.1.3	Classifiers	0
388229				(a) gə	classifier for brooms	clf	1807	Daofu	35	3.3	rGyalrongic	Huang and Dai 92 TBL	TBL	0846.12	10.1.3	Classifiers	0
389038				(a) gə	sentence (of speech)	clf	1807	Daofu	35	3.3	rGyalrongic	Huang and Dai 92 TBL	TBL	0862.12	10.5.1	Structuring Words	0
390063				(a) gə	classifier for letters	clf	1807	Daofu	35	3.3	rGyalrongic	Huang and Dai 92 TBL	TBL	0888.12	10.1.3	Classifiers	0
390114				(a) gə	classifier for rooms	clf	1807	Daofu	35	3.3	rGyalrongic	Huang and Dai 92 TBL	TBL	0889.12	10.1.3	Classifiers	0
390829	p,307			(a) gʐə	cubit	clf	1807	Daofu	35	3.3	rGyalrongic	Huang and Dai 92 TBL	TBL	0903.12	1.5.9.3	Cubit	0
389650				(a) kha	square (area unit for selling cloth)	clf	1807	Daofu	35	3.3	rGyalrongic	Huang and Dai 92 TBL	TBL	0874.12	9.7.1	Shape and size	0
391340	m,2252			(a) kvo	year's (work)	clf	1807	Daofu	35	3.3	rGyalrongic	Huang and Dai 92 TBL	TBL	0913.12	9.1.2	Months and Years	0
391592				(a) lba	sheet (of paper)	clf	1807	Daofu	35	3.3	rGyalrongic	Huang and Dai 92 TBL	TBL	0839.12	5.11.9.4	Furnishings	0
391645				(a) lba	page	clf	1807	Daofu	35	3.3	rGyalrongic	Huang and Dai 92 TBL	TBL	0840.12			0
388938				(a) lba	classifier for leaves	clf	1807	Daofu	35	3.3	rGyalrongic	Huang and Dai 92 TBL	TBL	0860.12	10.1.3	Classifiers	0
389344				(a) lde	section (of road / journey)	clf	1807	Daofu	35	3.3	rGyalrongic	Huang and Dai 92 TBL	TBL	0868.12	7.1.6.1	Single/part/few	0
