lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
343891				-a	agent case suffix		1801	Bantawa	76	2.3.2	Southern Kiranti	Rai 85 BnDs	NKR-Bant		10.4	Affixes	0
343892				-a	instrumental case suffix		1801	Bantawa	76	2.3.2	Southern Kiranti	Rai 85 BnDs	NKR-Bant		10.0	Grammatical Words	0
343893				-a	past tense suffix		1801	Bantawa	76	2.3.2	Southern Kiranti	Rai 85 BnDs	NKR-Bant		9.1.5	Other Intervals	0
343927				abo	now		1801	Bantawa	76	2.3.2	Southern Kiranti	Rai 85 BnDs	NKR-Bant		9.1.5	Other Intervals	0
343912				acchimbaTnUN	two years back		1801	Bantawa	76	2.3.2	Southern Kiranti	Rai 85 BnDs	NKR-Bant		9.9	Numbers and numeric expression	0
343910				acchosa	three days back		1801	Bantawa	76	2.3.2	Southern Kiranti	Rai 85 BnDs	NKR-Bant		9.9	Numbers and numeric expression	0
343911				acchU	last time		1801	Bantawa	76	2.3.2	Southern Kiranti	Rai 85 BnDs	NKR-Bant		9.9	Numbers and numeric expression	0
343914				aDDawa	go somewhere without stopping at night	adv	1801	Bantawa	76	2.3.2	Southern Kiranti	Rai 85 BnDs	NKR-Bant		6.7.2	Outward	0
343904				agana	courtyard		1801	Bantawa	76	2.3.2	Southern Kiranti	Rai 85 BnDs	NKR-Bant		9.10.5	Places in general, countries	0
343905				agUi	oh!		1801	Bantawa	76	2.3.2	Southern Kiranti	Rai 85 BnDs	NKR-Bant		10.7	Ejaculations	0
343894				ai	today		1801	Bantawa	76	2.3.2	Southern Kiranti	Rai 85 BnDs	NKR-Bant		9.1.3	Days	0
343898			65:5807	aibheni	this morning		1801	Bantawa	76	2.3.2	Southern Kiranti	Rai 85 BnDs	NKR-Bant		10.4.3.2	Demonstrators	0
343896			65:5807	aiDoN	this year		1801	Bantawa	76	2.3.2	Southern Kiranti	Rai 85 BnDs	NKR-Bant		10.4.3.2	Demonstrators	0
343895			65:5807	aikhakhuT	this night		1801	Bantawa	76	2.3.2	Southern Kiranti	Rai 85 BnDs	NKR-Bant		10.4.3.2	Demonstrators	0
343899				aimiT	these days		1801	Bantawa	76	2.3.2	Southern Kiranti	Rai 85 BnDs	NKR-Bant		10.4.3.2	Demonstrators	0
343897			65:5807	ainampUk	this night		1801	Bantawa	76	2.3.2	Southern Kiranti	Rai 85 BnDs	NKR-Bant		10.4.3.2	Demonstrators	0
343457				ak	feel heavy pain		1801	Bantawa	76	2.3.2	Southern Kiranti	Rai 85 BnDs	NKR-Bant		8.4	Feeling	0
343903				akhumaN	yesterday		1801	Bantawa	76	2.3.2	Southern Kiranti	Rai 85 BnDs	NKR-Bant		9.1.3	Days	0
343901				akkhu	exclamatory word when eyes are smarting from smoke		1801	Bantawa	76	2.3.2	Southern Kiranti	Rai 85 BnDs	NKR-Bant		10.5.3	WH words	0
343902				aklekni	immediately		1801	Bantawa	76	2.3.2	Southern Kiranti	Rai 85 BnDs	NKR-Bant		9.1.1	Adverbial uses	0
