lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
387424				(tă³¹) pak³⁵	hundred	num	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0824.29	9.9	Numbers and numeric expression	0
387685				(tă³¹) pak³⁵mun³¹	million	num	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0829.29	9.9	Numbers and numeric expression	0
349797	291,m			am³¹pɔŋ⁵⁵	chest	n	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0093.29	1.4.4.3	Chest	0
384507				an³⁵	animals (twelve) representing the twelve years	n	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0767.29	9.9	Numbers and numeric expression	0
426046				an³⁵	count (numbers)	v.	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1640.29	6.2.2.2	Move an object	0
426642				an³⁵	calculate	v.	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1652.29	8.3.1.13.1	Think	0
374708				ap⁵⁵	needle	n	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0578.29	5.1	Waste products	0
372978				au³¹	wok (large, iron) / pan	n	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0545.29	5.5	Cooking Implements	0
373031				au³¹	wok (frying)	n	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0546.29	5.5	Cooking Implements	0
352363				a³¹chut⁵⁵	lung	n	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0143.29	1.7.2	Lung	0
353385	m,80			a³¹co⁵⁵	life	n	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0163.29	1.1.2.1	Life/Live/Alive	0
353023				a³¹cui³¹	saliva	nbp	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0156.29	1.8.3	Spit/Saliva	0
381027				a³¹cɔ⁵⁵	advantage / benefit	n	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0700.29	8.1	Abstract Entities	0
396603				a³¹faŋ³¹	horizontal		1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1001.29	7.1.5.4	Position - front/back/side-side	0
385436				a³¹fu³⁵	present, the (time)	n	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0785.29	5.8	Religion	0
381497				a³¹jam⁵⁵	side	n	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0709.29	1.4.5	Sides	0
381979				a³¹jam⁵⁵	edge / rim / margin	n	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0718.29	9.2.7	Extent	0
358736	p,819			a³¹khʐau⁵⁵	horn	n	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0263.29	1.2.2	Horn(ed)/Antler	0
346261	p,1277			a³¹khʐoʔ⁵⁵	valley	n	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0025.29	3.2.5	Landforms and geographical features	0
381442				a³¹koŋ⁵⁵	middle	n	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0708.29	1.9.4	Breast	0
381131				a³¹miu⁵⁵	color	n	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0702.29	9.4	Colors	0
379821				a³¹mu⁵⁵	matter / affair	n	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0677.29	8.1	Abstract Entities	0
