lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
483062				(-)dhalʔ	group of spirits (respectful term?)	n.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		4.4	Groups	0
487160				(-)hə	Limiter; only; Intensifier (with Negative)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.1.1	Prepositions	0
487169				(-)həʔ	Limiter; only; Intensifier (with Negative) - more emphatic than (-)hə?	fn1.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.1.1	Prepositions	0
486765				(-)suyʔ	instrument with blade, sword	n.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		5.1	Waste products	0
480735				(-)ŋə	First Person Exclusive suffix (Verbal) or particle	fn1.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.9	Numbers and numeric expression	0
478816				(-)ʔa.le	Restricted Reference; only, just	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.1.1	Adverbial uses	0
478826				(-)ʔaʔ.le	Restrictive Reference; only, just	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.1.1	Adverbial uses	0
481995				(tiʔ.tiʔ).dhyaŋ.ghay.ro	flower (sp.), of bingoyʔ	n.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		3.1.4	Seeds and flowers, nuts	0
478895				-(ʔ)i	Plural (Verbal)	fn3.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.4.1.4	Person, #, gender	0
478917				-(ʔ)u	Agent marker (Verbal)	fn1.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		5.1	Waste products	0
478918				-(ʔ)u	Transitive marker (for Imperative)	fn2.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.0	Grammatical Words	0
484229				-ba.le	Nominalizer (Temporal -used with reduplicated verb stem, indicating time at which the following action occurred); at the time of, while	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.0	Grammatical Words	0
484284				-bay	Assertion of Certainty (esp. with regard to the completeness of an action that is unseen or as yet unrealised)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.1.1	Prepositions	0
484238				-baŋ	affliction, curse	nb1.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		8.5.1	Scold	0
484244				-baŋ	tribal group (as in cyoʔ.baŋ) (<N bəmsə race?)	nb2.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		4.4.2	Clans and neighbors	0
484391				-bet.(ti)	Sequential Setting (B)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		6.17	Putting	0
484672				-bhara	part of place name (ch.)	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		6.10.2	Intentional loss - Abandon	0
484612				-bhə.naŋ	Continuative; continue in same manner, truly in this manner, only in this manner	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		8.1	Abstract Entities	0
484614				-bhə.nuŋ	Continuative; continue in same manner, truly in this manner, only in this manner	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		8.1	Abstract Entities	0
484615				-bhə.ri	Totality (Temporal); whole (time) (<N)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.1.5	Other Intervals	0
484628				-bhərʔ	outside, behind (<H baher?)	nl.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.2.7	Extent	0
484421				-bon	Classifier, Human (WD)	nmcl.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.1.3	Classifiers	0
484491				-bras	mixture, part	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		6.13.4	Mix	0
484186				-bən	Simultaneity; when, while (WD)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.5.3	WH words	0
484183				-bət	Possessive marker (Verbal), indicating feeling towards the possessed item	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.4.1.1	Grammatical case	0
484184				-bət.ti.(ko)	Sequential, after (<N bittikəy immediately, as soon as)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.0	Grammatical Words	0
480896				-c(ə)	Dual Number (non-Second Person)	fn1.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.9	Numbers and numeric expression	0
480946				-ca(ʔ)	Indefinite Future (with First Person), anti-Subjunctive (with non-First Person) - expressing hope, desire or expectation that a situation is unrealised (with Second Person effectively a Negative Imperative)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		4.5	Other Collective terms	0
480948				-cak	Classifier (Numeral, Human)	nmcl.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.1.3	Classifiers	0
480949				-cak	Augmentative, Honorific (Verbal)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.0	Grammatical Words	0
480945				-caʔ	pair of related persons	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.9	Numbers and numeric expression	0
481085				-ceʔ	Indefinite Future Tense (First Person Agent to Second Person Goal only)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		4.5	Other Collective terms	0
481458				-chyoh	three years ago	ntb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.9	Numbers and numeric expression	0
480984				-ci	Case and Person marker (Verbal - Second Person Singular Agent with First Singular Goal)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		4.5	Other Collective terms	0
481137				-cok	Condescension (with Imperative), esp. to younger person	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.1.1	Prepositions	0
481138				-cok	moment, short period	ntb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.1.4	Times of Day	0
481144				-coŋ	group of related persons	nk.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		4.4	Groups	0
481120				-coʔ	person	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		4.5	Other Collective terms	0
481123				-coʔ	Diminutive, indicating small size (hence sometimes also affection)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.7.2	Verbs referring to size/shape	0
481127				-coʔ.caŋ	Diminutive	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.4.1.3	Diminutivizer, intensifier, etc.	0
481162				-cya	Indefinite Future (WD)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.0	Grammatical Words	0
481174				-cyaʔ.diŋ	Punctiliar Locative (or Initial point Delimiter?) - spatial or temporal; immediately at or after the place or time specified	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.1.2.1	Compound	0
481254				-cyok	moment, short period	nbt.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.1.4	Times of Day	0
481213				-cyuk	Endpoint Delimiter (spatial, temporal); (up to) this much, so much (length, time)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		7.1.2.1	Quantity - general	0
480897				-cə	Indefinite Future (with First Person), anti-Subjunctive (non-First Person), Negative Imperative (with 2nd Person) {-caʔ}	fn2.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		4.5	Other Collective terms	0
482637				-da	Continuative (with Tertiary Verb)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.0	Grammatical Words	0
482642				-da.ne	ones of specified character	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.1.1	Prepositions	0
482697				-dalʔ	group pf related persons	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		4.4	Groups	0
482686				-darʔ	rising (of sun, moon)	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		1.1.4	Wake/Conscious/Alert	0
482663				-daŋh	Near Future, Imminent Future (B)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.1.5	Other Intervals	0
483061				-dhar.na	Means; through, by means of action of verb root	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		8.2	Abstract verbs	0
483046				-dhaŋ	Immediate Future, Near or Short Term Future (usually with reversal of situation expected); right now; yet, still (with Negative)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.1.1	Prepositions	0
483101				-dheŋ	Delimiter (spatial or temporal)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.1.2.1	Compound	0
483067				-dhiŋ	Delimiter (of Initial point? - spatial or temporal)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC				0
483011				-dhə.ni	group (non-human)	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		4.4	Groups	0
483021				-dhəy	Durative, Simultaneous or Continuous Action (Tertiary Verb - action simultaneous with that of main verb); while, during	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.1.1	Prepositions	0
482717				-dik	Contrary to Fact Conditional; if, otherwise	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		8.1	Abstract Entities	0
482731				-diŋ	place (gen.), spirit associated with that place	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.10.5	Places in general, countries	0
482866				-do	Uncertainty	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC				0
482867				-do(ʔ)	side, direction, place (or time) of specific sort	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		1.4.5	Sides	0
482793				-duŋ	Honorific - indicating honoured head, founder of clan	nb1.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.0	Grammatical Words	0
482979				-dyum	end, termination	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.5	Change of state	0
480162				-ga	consumed substance	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		8.1	Abstract Entities	0
480190				-gam.(səyk)	molar	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		1.3.4.2	Molar	0
480209				-gar	Emotive Relator; feel, seem (in relation to verbal situation)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.1.1	Prepositions	0
480212				-garʔ	Referential Indefinite; whatever (sort)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.5.3	WH words	0
480647				-ghən.di	Classifier (Numeral, Animate) - animate objects	nmcl.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.4.1.2	Animacy	0
480605				-glyum	charcoal, coals	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		3.2.4	Elements, metals, alloys	0
480331				-go.ta	Classifier (Numeral, General), (<IA Maithili goT, Oriya goTa)	nmcl.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.1.3	Classifiers	0
480333				-go.te	Temporal Ablative; since, from (a specified time)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.1.5	Other Intervals	0
480399				-gor	Classifier (Numeral, Animate) - animate objects (humans, animals, birds)	nmcl.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.4.1.2	Animacy	0
480127				-gə	Adverbializer - for manner, quality, quantity or location, as defined by the preceding noun or verb root	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.0	Grammatical Words	0
480135				-gə.ni	group (of similar entities)	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		4.4	Groups	0
480134				-gə.nə	Distributive Locative; at wherever, at each place of, among, all over (area), around about, beside, by	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.0	Grammatical Words	0
487222				-ha.le	dozen	nmb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC				0
487246				-hay(ʔ)	having emotion (ch.)	vrb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC				0
487233				-haŋ	Necessative (with Negative)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.1.1	Prepositions	0
487234				-haŋʔ	Locative (General - of place or time); at, in: Genitive of Source; from among (ext.)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.1.1	Prepositions	0
487829				-hla	sheet (of paper, etc.)	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		5.11.9.4	Furnishings	0
487921				-hleh	layer, sheet	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		6.17	Putting	0
487795				-hryoh	seven years previously	nt.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.9	Numbers and numeric expression	0
481460				-j(ə)	Dual Marker (Second Person)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.4.1.4	Person, #, gender	0
481497				-ja	Emotive; form indicating emotion, esp. disappointment, sadness	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC				0
481498				-ja(ʔ)	affliction, afflicting agent	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC				0
481544				-jarʔ	Comparative; similar, like (object referred to by head noun)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.4.3.1	Degrees of comparison	0
481592				-jeʔ	Emotive of Finality, Satisfaction (with respect to a situation) or Remorse (ironic)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.1.1	Prepositions	0
481593				-jeʔ	evil-doer	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		8.3.1.15	Awe	0
481598				-jeʔ.ʔa	Past Completive	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.1.5	Other Intervals	0
481735				-jhuŋ	Repetitive, Iterative Action	fn1.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		6.2	Action Verbs with Patient	0
481736				-jhuŋ	Restricted Collective; just, as much as (only)	fn2.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.0	Grammatical Words	0
481778				-jhyaŋ	Nominalizer - reward or result of verbal action	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.4.2.7	Nominalizers	0
481817				-jhyoh	four years ago	nt.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.9	Numbers and numeric expression	0
481696				-jhəm	Sufficiency, amount sufficient to achieve action, state (described by preceding verb)	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		1.1.3.2	Satiated/Full/Enough	0
481547				-ji	Dual Marker (Second Person) {-jə}	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.4.1.4	Person, #, gender	0
481618				-jok	(each) individually	adv.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC				0
481580				-jumh	handful	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.8	Measure Words	0
481636				-jyaŋ	Emphatic (of Number)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.7	Ejaculations	0
481674				-jyoʔ	Numeral Classifier (General)	nmcl.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.9	Numbers and numeric expression	0
481473				-jəm	Nominaliser of Sufficiency - amount equal or sufficient to complete action, achieve state (described by preceding verb); only as much as	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.0	Grammatical Words	0
479137				-ka	Locative (non-Specific - of place or time) {-kha}	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.0	Grammatical Words	0
479141				-ka.de	Conjunction (Instantaneous Succession - a paired suffix); just as	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.4	Affixes	0
479148			5:bNepali	-ka.lə	Locative (Temporal) (<N kalə time)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.1.5	Other Intervals	0
479206				-kan.da	Honorific (used with names of ancestors)	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.1.1	Prepositions	0
479208				-kanʔ	Honorific - on kinship noun	nb.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.0	Grammatical Words	0
479226				-kay	Reciprocal action	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.0	Grammatical Words	0
479231				-kayʔ	Goal Case marker (on nouns) -marking the entity that the action is intended to affect	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.1.1	Prepositions	0
479965				-kha	Locative (non-Specific, of place or time)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.0	Grammatical Words	0
479994				-khar	non-Honorific (Imperative - impolite)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.0	Grammatical Words	0
479997				-khaw	Honorific (Verbal)	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.0	Grammatical Words	0
480053				-khe	Contrastive, Adversative Reference; on the one hand ... on the other hand	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		1.5.1.1	Hand	0
480055				-kheʔ	Imminence (of action); about to	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.1.1	Prepositions	0
480016				-khih	fingerful, very small amount	nms.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.7.2	Verbs referring to size/shape	0
480086				-khok	Classifier (Numeral, Artifacts), for articles, manufactured items	nmcl.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.1.3	Classifiers	0
480044				-khuyh	handful (cupped)	nm.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.8	Measure Words	0
480118				-khyoh	seven years ago	nt.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		9.9	Numbers and numeric expression	0
479953				-khəyʔ	Inceptive; begin to	fn.	1977	Chepang	28	2.4	Kham-Magar-Chepang	Caughley 00 Chepang	RC-DOC		10.0	Grammatical Words	0
