lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
128321				akha	meconium / baby shit		378	Bunan	20	2.1.1	Western Himalayish	Sharma, S.R. 91 Bu	SBN-BunQ	9.12.2	1.8.5	Feces/Shit/Dung/Filth/Excrement	0
128319	m,m,1019			akha phug◦tsi	anus / rectum		378	Bunan	20	2.1.1	Western Himalayish	Sharma, S.R. 91 Bu	SBN-BunQ	9.12	1.4.10.2	Anus/Rectum	0
128191	474			aʔ	mouth		378	Bunan	20	2.1.1	Western Himalayish	Sharma, S.R. 91 Bu	SBN-BunQ	3.7	1.3.1	Mouth	0
128203	474,m			aʔ alca	gape  /  open mouth	v	378	Bunan	20	2.1.1	Western Himalayish	Sharma, S.R. 91 Bu	SBN-BunQ	3.7.15	1.3.1	Mouth	0
128213	p,3450,m,m			a◦mbok də◦ca	kiss		378	Bunan	20	2.1.1	Western Himalayish	Sharma, S.R. 91 Bu	SBN-BunQ	3.9.5	1.3.2.2	Kiss	0
128287	592,m			bat◦si	skin		378	Bunan	20	2.1.1	Western Himalayish	Sharma, S.R. 91 Bu	SBN-BunQ	8.2	1.6.5	Skin	0
128294	592,m			bat◦si	hide / leather (dried animal skin)		378	Bunan	20	2.1.1	Western Himalayish	Sharma, S.R. 91 Bu	SBN-BunQ	8.2.6	1.6.5.1	Hide/Leather	0
128223				bawa	goiter		378	Bunan	20	2.1.1	Western Himalayish	Sharma, S.R. 91 Bu	SBN-BunQ	4.1.1	1.4.2.2	Goiter	0
128265				baŋ	foot		378	Bunan	20	2.1.1	Western Himalayish	Sharma, S.R. 91 Bu	SBN-BunQ	6.2.6	1.5.2	Foot	0
128279				baŋ gyab	toe		378	Bunan	20	2.1.1	Western Himalayish	Sharma, S.R. 91 Bu	SBN-BunQ	7.2	1.5.6	Finger/Toe	0
128268				baŋ jas	footprint		378	Bunan	20	2.1.1	Western Himalayish	Sharma, S.R. 91 Bu	SBN-BunQ	6.2.6.7	1.5.2.5	Footprint	0
128264				bàŋgi	ankle		378	Bunan	20	2.1.1	Western Himalayish	Sharma, S.R. 91 Bu	SBN-BunQ	6.2.5	1.5.8.2	Ankle	0
