lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
402830				(rtsa) mba	pull up (weeds)		1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1131.05	6.2.2.3.1	Push	0
353837				a ji	old lady	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0172.05	7.1.8.3	Neutral term	0
356175				a ji	grandmother	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0217.05	4.7.1	Previous generation	0
356918				a khə	uncle <father's elder brother>	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0230.05	4.7.1	Previous generation	0
357024				a khə	uncle <father's younger brother>	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0232.05	4.7.1	Previous generation	0
357448				a khə	uncle <mother's sister's husband>	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0240.05	4.7.1	Previous generation	0
357563				a khə	uncle <father's sister's husba	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0242.05	4.7.1	Previous generation	0
356666				a kæ	elder brother	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0226.05	4.7.1	Previous generation	0
356122				a mȵi	grandfather	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0216.05	4.7.1	Previous generation	0
356972	p,2507			a ni	aunt <wife of father's elder brother>	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0231.05	4.7.1	Previous generation	0
357077	p,2507			a ni	aunt <wife of father's younger brother>	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0233.05	4.7.1	Previous generation	0
357504	p,2507			a ni	aunt <mother's sister>	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0241.05	4.7.1	Previous generation	0
357617	p,2507			a ni	aunt <father's sister>	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0243.05	4.7.1	Previous generation	0
356227				a rdʑæ	father	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0218.05	4.7.1	Previous generation	0
357727				a rdʑæ	father-in-law	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0245.05	4.7.4	Related by marriage	0
357998				a rɟjæ	stepfather	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0250.05	4.7.1	Previous generation	0
356730				a tɕhi	elder sister	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0227.05	4.7.1	Previous generation	0
357338	p,2640			a ʑaŋ	uncle <mother's brother>	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0238.05	4.7.1	Previous generation	0
421077				bcçək	throw up / vomit	v.	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1535.05	6.12	Throwing	0
416034				cçak	crow (of cocks)	v.	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1426.05	2.2.4.1	Particular birds	0
416081				cçak	crow (of hens)	v.	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1427.05	2.2.4.1	Particular birds	0
371133				cçaŋ	wall	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0510.05	5.11.9.3	Parts of the structure	0
396629				cçaŋ	vertical		1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1002.05	9.2.1	Up	0
371297				cçen rtsaŋ	pillar / column	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0513.05	5.11.9.3.1	Internal	0
351626	231			cçhak	blood	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0129.05	1.6.2	Blood/Bleed	0
401878				cçham	polite / courteous		1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1109.05	6.19	Social action	0
392879				cçho	you	pron	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0931.05	4.1	Pronouns	0
426982				cçhok	lift up / carry	v.	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1659.05	6.16	Holding	0
362124				cçhæ	sparrow hawk	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0329.05	2.2.4.1	Particular birds	0
392984				cçhə tɕho	you (pl.)	pron	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0933.05	4.1	Pronouns	0
348420				cçhəm tshaŋ	household	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0067.05	5.11.9.6	General	0
408248				cçhət	lead (the way) / guide	v.	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1251.05	6.2.2.1	Assorted action verbs	0
365985			65:5858	cço	wheat	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0410.05	3.1.4	Seeds and flowers, nuts	0
363672	2631,s			cçok mæ	ant	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0365.05	2.2.6	Insects, Arachnids, and Worms	0
373206				cçə	knife	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0549.05	5.5	Cooking Implements	0
372800				cçəm lət	garbage / rubbish	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0542.05	5.1	Waste products	0
380901				cçən mæ	shadow	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0698.05	3.2.10	Light or lack of light	0
345820				dar	ice	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0017.05	3.2.3	Water and other liquids	0
379955				dʑe wa	temper	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0679.05	8.3	Psychological verbs	0
347908				ha jan	aluminum	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0057.05	3.2.4	Elements, metals, alloys	0
409712				ha ko	understand / grasp	v.	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1282.05	8.3.1.13.1	Think	0
357674				ha mȵə jaŋ mȵə	relatives	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0244.05			0
393303				ha ne wo	we all	pron	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0939.05	4.1	Pronouns	0
356069				ha rdʑət	ancestors / forebears	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0215.05	4.7.1	Previous generation	0
359808	1006			hak	pig	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0284.05	2.1.12	Porcine	0
370827	1006,m			hak ra	pigsty / pen (hog)	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0504.05	5.11.9.5	Outdoor/Temporary structures	0
369552				ham	shoe	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0479.05	5.11.8.1	Footwear	0
381003				ham ba	advantage / benefit	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0700.05	8.1	Abstract Entities	0
418854	577		65:577,65:m,65:5843	hcçok kwa htoŋ	empty the bowels	v.	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1488.05	7.1.2.1	Quantity - general	0
405111				hep laŋ	want to eat (meat) badly		1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1180.05	8.3.1.14.3	Desirable	0
430037				hep laŋ	admire and envy	v.	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1724.05	8.3.1.1.1	Like	0
428214			65:2365	hki	steal	v.	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1686.05	6.2.2.1	Assorted action verbs	0
349928				ho	belly	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0096.05	1.4.7	Belly/Abdomen	0
353888				ho shar	man	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0173.05	1.9.6.1	Pregnant	0
414018				ho tɕhe	pregnant, be	v.	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1379.05	1.9.6.1	Pregnant	0
360320				ho wɕæ	cock	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0294.05	2.1.10	Fowl (i.e. Domestic Birds)	0
348732				hoŋ ŋo	body	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0073.05	1.1.1	Body	0
407580				htor	break up / scatter	v.	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1235.05	9.5	Change of state	0
410316	430,430			htsap htsap	chop / cut (meat)	v.	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	1296.05	6.9.3	Chop, slice	0
360732				huk duk	dove	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0302.05	2.2.4.1	Particular birds	0
378180				hwe tɕha	book	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0646.05	5.1	Waste products	0
355236				hwon bo	official (government)	n	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0199.05	5.8	Religion	0
388525				hwæ zək	handful (of rice)	clf	1848	Tibetan (Alike)	24	2.1.2.1	Tibetan	Huang and Dai 92 TBL	TBL	0853.05	9.8	Measure Words	0
