lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
251897				-aber	under		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.2.2	Down	0
251564				-adeng	towards		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.2.8	Directions	0
253175				-along	with (accompaniment)		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		10.1.1	Prepositions	0
243387				-arlo	in		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		10.1.1	Prepositions	0
241792				-arro	from		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		10.1.1	Prepositions	0
251898				-arum	under		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.2.2	Down	0
243388				-dang	in		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		10.1.1	Prepositions	0
252102				-hik	very		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		7.1.2.2	Degree	0
244609				-hoi	like (as)		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		8.3.1.1.1	Like	0
238614				-jong	by means of		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		10.0	Grammatical Words	0
236672				-le	at		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		10.0	Grammatical Words	0
243389				-le	in		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		10.1.1	Prepositions	0
245555				-masi	must	modal	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		8.2	Abstract verbs	0
244608				-nanghak	like (as)		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		8.3.1.1.1	Like	0
253176				-pensi	with (accompaniment)		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		10.1.1	Prepositions	0
236674				-pho	at		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		10.0	Grammatical Words	0
243391				-pho	in		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		10.1.1	Prepositions	0
236673				-si	at		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		10.0	Grammatical Words	0
243390				-si	in		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		10.1.1	Prepositions	0
243325				-te	if		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		10.1.2.2	Subordination	0
240421				-tin	each		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.9	Numbers and numeric expression	0
240670				-tin	every		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.9	Numbers and numeric expression	0
246141				abe	obey		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		8.3.2.5.2	Honor	0
253293				abidiehekthe	wonderful		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.6.1.1	Positive Qualities	0
236311				achitim	among		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.2.5	Amid	0
242552				achitim	half		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.8	Measure Words	0
237134				adai	beam	n	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		5.11.9	Dwellings	0
237719				adak	between		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.2.3	Sideways	0
258592				adap	dawn	n	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.1.4	Times of Day	0
259222				adap	morning		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.1.4	Times of Day	0
238830				ador-keme	cheap		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		5.9	Monetary Terms	0
239864				ador-keso	dear (expensive)		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.6.1.1	Positive Qualities	0
245738				adung	near		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.2.3	Sideways	0
254668				adungarei	neighbor		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		4.4.2	Clans and neighbors	0
244764				adungrok	look for		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		1.2.6.11	Behold	0
248764				adungrok	seek		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		6.2.2.2	Move an object	0
240570				adusi	end	n	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.5	Change of state	0
251763				ahok	true		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.6.1.1	Positive Qualities	0
243286				ahu	husk	n	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		3.1.2	Plant parts and types	0
257328				ahu	shell		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		2.2.5	Fish and Mollusks	0
260179				ahut	time	n	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.1.5	Other Intervals	0
244174				ain	law		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		5.8	Religion	0
257929				ajengso	small		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.7.2	Verbs referring to size/shape	0
238613				ajok	by means of		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		10.0	Grammatical Words	0
255042				akebi	young		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		7.1.8.3	Neutral term	0
240540				akejoi	empty		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		7.1.2.1	Quantity - general	0
168933				akethe	head		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		1.2.1	Head/Headed	0
247908				akhiked	rich		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		5.9	Monetary Terms	0
240274				aklong	down		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.2.2	Down	0
247222				akopkelo	proud		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		8.3	Psychological verbs	0
247168				akuru	priest		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		4.2.4	Religious Roles	0
241749				akyoi	free (at liberty)		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		6.19	Social action	0
243503				alang	juice		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		3.1.6.3	Juices, beers, etc.	0
253744				alang	he		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		4.1	Pronouns	0
253829				alangli	they		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		4.1	Pronouns	0
254408				alohi	foreigner		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		4.4.3	Outsiders	0
259437				along	place	n	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.10.5	Places in general, countries	0
172845				amek	wound	n	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		1.8.6.2	Abscess/Ulcer	0
171668				amekave, kaselok	blind		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		1.2.6.14.2	Blind	0
241594				an	food		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		5.5	Cooking Implements	0
247844				an	rice (cooked)		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		3.1.4	Seeds and flowers, nuts	0
252101				an	very		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		7.1.2.2	Degree	0
172316	m,35			an, ok	meat		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		1.1.1.1	Flesh/Meat	0
249443				anajak	some		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.9	Numbers and numeric expression	0
247132				anam	price	n	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		5.9	Monetary Terms	0
258000				angar	sneeze		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		1.8.2.1	Sneeze	0
236310	5450,m			ang◦bong	among		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.2.5	Amid	0
237718	5450,m			ang◦bong	between		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.2.3	Sideways	0
245357	5450,m			ang◦bong	middle		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		1.9.4	Breast	0
240571	5450,m			ang◦ehun	end	n	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.5	Change of state	0
166457	5450,m			ang◦jin	shoulder		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		1.4.3	Shoulder	0
238327	5450,m			ang◦jok	bud	n	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		3.1.4	Seeds and flowers, nuts	0
259018	5450,m			ang◦kok	hole		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		3.2.7	Cracks/Chasms/Crevices	0
248191	5450,m			ang◦kur	root	n	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		3.1.2	Plant parts and types	0
165773	5450,363			ang◦mi	hair (of body)		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		1.2.3	Hair of Head	0
259628	5450,m			ang◦ru	rust	n	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		3.2.4	Elements, metals, alloys	0
240539	5450,m			ang◦se	empty		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		7.1.2.1	Quantity - general	0
246322	5450,m			ang◦se	only		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		7.1.6.1	Single/part/few	0
246262	5450,m			ang◦song	on		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		10.1.1	Prepositions	0
251481	5450,m			ang◦song	top (i.e. highest point)		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		1.2.1.3	Fontanel	0
252018	5450,m			ang◦song	up		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.2.1	Up	0
253242	5450,m			ang◦taw	without	prep	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		10.1.1	Prepositions	0
239453				aning-kave	cruel		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		8.3.3.2.2	Cruel	0
236350				anke	and		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		10.1.2.1	Compound	0
240913				ankehum	fast	v	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.6.1.1	Positive Qualities	0
250723				ansi	then		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.1.5	Other Intervals	0
243780				antun-ahem	kitchen		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		5.5	Cooking Implements	0
243705				ap	kill	v	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		6.4	Harm	0
249244	2232			ap	shoot		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		6.2.2.1	Assorted action verbs	0
245523				apar	much		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		7.1.2.1	Quantity - general	0
251294				aphan	to		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		10.1.1	Prepositions	0
237444				aphrang	before		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.1.5	Other Intervals	0
258244				aphrang	first		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.9	Numbers and numeric expression	0
255951				api	cow		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		2.1.2	Bovine	0
237341				apotsi	because		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		10.1.2.2	Subordination	0
238679				arbak	carry (generic)	v	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		6.2.2.2.1	Carry	0
255632				arbe	bug		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		2.2.6	Insects, Arachnids, and Worms	0
249941				archujok	sting	v	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		2.4.2	Sting	0
242752				ardik	heavy		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		9.6.2	Negative Qualities	0
247037				ardom	pray	v	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		5.8.3.1	Religious Events	0
166408				are	right-hand		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		1.5.1.1	Hand	0
258662				are	dew		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL				0
259883				arekelok	snow	n	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		3.2.1	Weather and seasons	0
245613				areng-angse	naked		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		1.1.1	Body	0
243054				arhi	hook	n	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		5.4	Instruments and therapies	0
254455				ari	friend		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		4.4.2	Clans and neighbors	0
244542	2789			arjang	light (of weight)	adj	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		7.1.11.1	Light	0
172245				arju	listen		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		1.2.7.4	Hear/Listen	0
236602	2799			arju	ask (a question)		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		8.5.7.1	Ask	0
236634	2799			arju	ask for		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		8.5.7.1	Ask	0
247429	2799			arju	question	n	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		8.5.7.1	Ask	0
259352				arki	noise		1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		7.1.4.3	Hear	0
248399				arkli	sacrifice	n	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		5.8.1.3	General/Other Religious	0
253426				arkli	worship	v	1062	Mikir [Karbi]	14	1.5	Mikir [Karbi]	Marrison 67 Naga	GEM-CNL		5.8.1.3	General/Other Religious	0
