lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
387785				(tă³¹) mun³¹mun³⁵	billion	num	1824	Achang (Longchuan)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0831.28			0
387684				(tă³¹) pak³⁵mun³⁵	million	num	1824	Achang (Longchuan)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0829.28	9.9	Numbers and numeric expression	0
387735				(tă³¹) xiŋ⁵¹mun³⁵	ten million	num	1824	Achang (Longchuan)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0830.28	9.9	Numbers and numeric expression	0
426045				an³⁵	count (numbers)	v.	1824	Achang (Longchuan)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1640.28	6.2.2.2	Move an object	0
426641				an³⁵	calculate	v.	1824	Achang (Longchuan)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1652.28	8.3.1.13.1	Think	0
374707				ap⁵⁵	needle	n	1824	Achang (Longchuan)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0578.28	5.1	Waste products	0
372977				au³¹	wok (large, iron) / pan	n	1824	Achang (Longchuan)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0545.28	5.5	Cooking Implements	0
419792				a³¹ka⁵⁵pan³⁵te³⁵	s.b.'s turn	be v.	1824	Achang (Longchuan)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1507.28	1.5.3.2	Five	0
374549				a³¹kun³⁵	goods / merchandise	n	1824	Achang (Longchuan)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0575.28	5.11	Artifacts (unclassified as yet)	0
381441				a³¹kuŋ⁵⁵	middle	n	1824	Achang (Longchuan)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0708.28	1.9.4	Breast	0
351699				a³¹kʐə³¹	tendon / sinew	n	1824	Achang (Longchuan)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0130.28	1.6.6.1	Sinew/Tendon/Ligament	0
381924				a³¹liam³¹	point / tip	n	1824	Achang (Longchuan)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0717.28	6.2.2.2	Move an object	0
