lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
121161				-be	in, on, at	pp	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay	72.1.103,			0
120457				-caŋ	functor [instrument nominal]	suff v	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay	[84.66]			0
121563				-ha	[ERGATIVE/INSTRUMENTAL/MANNER]	pp	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay	m72.1.55			0
121604				-he	in, on, at; while	pp	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay	84.144			0
121628				-hõːba	side	suff ad	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay	84.150			0
121398				-luŋ	[locative nominal]	suff v	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay	84.33, 84.			0
121212				-mi	[ASSERTIVE]	suff v	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay	84.257			0
121213				-mi	[feminine]	suff n	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay	84.257			0
120878				-nana	along; [PROGRESSIVE]	pp	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay	84.200			0
120922				-noŋ	when, after, from, because	pp	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay	[72.1.78],			0
120924				-noŋ	with, at	pp	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay	[72.1.78],			0
121482	m			-si	fruit	suff n	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay	72.5a.3			0
121483				-si	functor [action / manner nominal]	suff v	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay	72.5a.3			0
121502				-sina	functor [manner nominal]	suff v	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay	84.65			0
121497				-siŋ	functor [time nominal]	suff v	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay	84.65			0
120659				-ta	[past / passive particip.; patent nominal	suff v	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay	m73.1.23,			0
120664				-taŋ	functor [inanim. obj. nominal]	suff v	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay	84.246			0
120737				-tha	direction, manner	suff	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay	84.85, 84.			0
121462				-wo	person, male (derivational suffix)	suff n	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay	84.230 (vi			0
121260				-yi	-er [ACTOR NOMINALIZER]	suff v	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay	84.59 (vtt			0
121280				-yu	[OPTATIVE]	suff v	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay	84.54			0
120102				a	his, its, him, it	pron po	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay				0
120116				ami	their, them	pron po	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay				0
120114				ani	up, above	adv loc	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay				0
120115				ani	above	pp	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay				0
120110				atikhen	from over there	adv	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay				0
120111				atim	there, that way (away from speaker)	adv	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay				0
120109				atshe	their, them	pron po	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay				0
120105	2530			aŋ	my, me	pron po	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay				0
120107				aŋ	heat, scald (esp. milk)	vt	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay				0
120108				aŋtshe	our (DE), us (DE)	pron po	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay				0
120104				ãːki	our (PI), us (PI)	pron po	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay				0
121099				ba/bo	fetch, bring	vt, vtt	641	Hayu	30	2.3.4	Western Kiranti	Michailovsky 89 H2	BM-Hay	84.246			0
