lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
272216				a²¹ba²¹	father	N	946	Lisu (Northern)	47	6.1.2.2	Central Loloish	Bradley 94 Lisu	DB-Lisu		4.7.1	Previous generation	0
272217				a²¹ba²¹ a³³ma³³	parents, father and mother		946	Lisu (Northern)	47	6.1.2.2	Central Loloish	Bradley 94 Lisu	DB-Lisu		4.7.1	Previous generation	0
272224				a²¹ba²¹ da²¹ma³³	father's elder brother	N	946	Lisu (Northern)	47	6.1.2.2	Central Loloish	Bradley 94 Lisu	DB-Lisu		4.7.1	Previous generation	0
272219				a²¹ba²¹mæ⁵⁵	nominal father		946	Lisu (Northern)	47	6.1.2.2	Central Loloish	Bradley 94 Lisu	DB-Lisu		10.4.2.7	Nominalizers	0
272220				a²¹ba²¹nø³³	patriarchal clan		946	Lisu (Northern)	47	6.1.2.2	Central Loloish	Bradley 94 Lisu	DB-Lisu		4.4.2	Clans and neighbors	0
272222				a²¹ba²¹za²¹	relations with same grandfather, father		946	Lisu (Northern)	47	6.1.2.2	Central Loloish	Bradley 94 Lisu	DB-Lisu		4.7.1	Previous generation	0
272223				a²¹ba²¹za²¹	brother (lit. father's child)		946	Lisu (Northern)	47	6.1.2.2	Central Loloish	Bradley 94 Lisu	DB-Lisu		1.5.3.2	Five	0
272218				a²¹ba²¹ɣɔʔ²¹	patriarchy		946	Lisu (Northern)	47	6.1.2.2	Central Loloish	Bradley 94 Lisu	DB-Lisu				0
272221				a²¹ba²¹ʃɿ²¹	patriarchal relatives		946	Lisu (Northern)	47	6.1.2.2	Central Loloish	Bradley 94 Lisu	DB-Lisu				0
272225				a²¹bɤ³⁵le³³	big; thick	V	946	Lisu (Northern)	47	6.1.2.2	Central Loloish	Bradley 94 Lisu	DB-Lisu		9.7.2	Verbs referring to size/shape	0
272331				a²¹dzɤ⁵⁵ na²¹ sɤ²¹	seed of Asiatic plantain		946	Lisu (Northern)	47	6.1.2.2	Central Loloish	Bradley 94 Lisu	DB-Lisu		3.1.4	Seeds and flowers, nuts	0
272330				a²¹dzɤ⁵⁵na²¹	Asiatic plantain	N	946	Lisu (Northern)	47	6.1.2.2	Central Loloish	Bradley 94 Lisu	DB-Lisu		3.1.5	Fruits and vegetables	0
272307				a²¹dʒɿ²¹	complete; entire; all; the whole area	V	946	Lisu (Northern)	47	6.1.2.2	Central Loloish	Bradley 94 Lisu	DB-Lisu		7.1.6.2	Accompanied/whole/many	0
272308				a²¹dʒɿ²¹ ta³³ti³³	all; total; add up to; amount to		946	Lisu (Northern)	47	6.1.2.2	Central Loloish	Bradley 94 Lisu	DB-Lisu		9.9	Numbers and numeric expression	0
272309				a²¹dʒɿ²¹su³³	all; everybody		946	Lisu (Northern)	47	6.1.2.2	Central Loloish	Bradley 94 Lisu	DB-Lisu		9.9	Numbers and numeric expression	0
272255				a²¹dʑa⁵⁵ʃɿ³³	long	V	946	Lisu (Northern)	47	6.1.2.2	Central Loloish	Bradley 94 Lisu	DB-Lisu		9.7.2	Verbs referring to size/shape	0
272257				a²¹dʑi⁵⁵	elder sister	N	946	Lisu (Northern)	47	6.1.2.2	Central Loloish	Bradley 94 Lisu	DB-Lisu		4.7.1	Previous generation	0
272256				a²¹dʑɤ⁵⁵	necklace (made of coloured grass seeds)	N	946	Lisu (Northern)	47	6.1.2.2	Central Loloish	Bradley 94 Lisu	DB-Lisu		5.11.8.3	Jewelry and Accessories	0
272233				a²¹ga³³	hill side	N	946	Lisu (Northern)	47	6.1.2.2	Central Loloish	Bradley 94 Lisu	DB-Lisu		3.2.5	Landforms and geographical features	0
272234				a²¹ga³³ hã³³mi³³	land on hill		946	Lisu (Northern)	47	6.1.2.2	Central Loloish	Bradley 94 Lisu	DB-Lisu		3.2.5	Landforms and geographical features	0
