lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
168277				aimə ləyə	lazy [he is lazy]	vs.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		9.6.2.2	Negative Human Qualities	0
60904				alpa	lazy		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		9.6.2.2	Negative Human Qualities	0
60898				anca	you (du.) (erg.)		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		4.1	Pronouns	0
60899				anci	you (du.)		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		4.1	Pronouns	0
60901				anni	you	pl.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		4.1	Pronouns	0
60900				anuch-u	return, give back	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		6.2.2.1	Assorted action verbs	0
60897				anˍ	you (sg.)		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		4.1	Pronouns	0
60902	2232,m			ap-u	shoot	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		6.2.2.1	Assorted action verbs	0
60903				app-u	bounce, ? fly off	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		6.7.7	Up, etc.	0
60905				ase	who?		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		10.5.3	WH words	0
60906				askəi	which?		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		10.5.3	WH words	0
60909				aslai	who? (erg.)		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		10.5.3	WH words	0
60908				asloi	with whom		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		10.1.1	Prepositions	0
60910				asmi	whose?		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		10.5.3	WH words	0
60907				aspi	whom	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		10.5.3	WH words	0
60896				athui	before / earlier		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		9.1.5	Other Intervals	0
60894				atka	before / earlier		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		9.1.5	Other Intervals	0
60895				att-a	return	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		6.2.2.1	Assorted action verbs	0
61536				baipˍ	long		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		9.7.2	Verbs referring to size/shape	0
61537				baiy-u	get / bring		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.1.5	Strength	0
61539				baksˍ	lightning		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		3.2.1	Weather and seasons	0
61538	1176,637			bak◦kaŋˍ	molar		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.3.4.2	Molar	0
61541				ban-a	come	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		6.7.1	Inward	0
61540				bat-u	exchange, barter	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		6.22	Exchanges	0
61542				bayayamˍ	armpit		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.5.1.2.3	Underarm/Armpit	0
61545	m,m			ba◦ramˍ	comb		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.2.2.1	Comb/Crest	 1
61544	m,m			ba◦yumma	comb		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.2.2.1	Comb/Crest	 2
61562				bei	arrow		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		5.15	War and violence	0
61563				bek-u	wipe clean	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		6.2.2.1	Assorted action verbs	0
61568	x			belo	sickle		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		5.3	Diseases	0
61567				bem◦luu	fart		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.8.5.2	Fart	0
61565				beplemə	butterfly		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		2.2.6	Insects, Arachnids, and Worms	0
61566	311,s			bes-a	fart	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.8.5.2	Fart	0
61564				betho	knife (khukuri)		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		5.5	Cooking Implements	0
61586				bhamˍ	buckwheat		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		3.1.4	Seeds and flowers, nuts	0
61587				bharamoksto	noisily		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		7.1.4.3	Hear	0
61585				bhatə	axe		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		5.11.5.3	Cutting/Boring	0
61588				bhera ləyə	crawl [he crawls]	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		6.7.9	Manner is primary	0
61581				bhə	carrying basket		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		6.2.2.2.1	Carry	0
61584				bhəs-a	cry, shout	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.8.8.2	Cry/Weep	0
61583				bhəy-ə	weave [he weaves]	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		5.1	Waste products	0
61582	m,5462			bhə◦namə	tumpline		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		5.11.8.2.1.1	Head	0
61547				bicu	ginger		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		3.1.5	Fruits and vegetables	0
61546				bikk-u	pick (fruit, etc.)	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		6.10.4	Intentional separation - Sort	0
61549	3467,s			bill-u	milk	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul				0
61548				binnipa	other, additional		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		8.1	Abstract Entities	0
61550	528			birimˍ	navel		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.9.4	Breast	0
61569	2103			bo	belly		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.4.7	Belly/Abdomen	0
61570	1006			bo	pig		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		2.1.12	Porcine	0
168304				bo məyə	pregnant [she is pregnant]	vs.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.9.6.1	Pregnant	0
61949				bochi	seven		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		9.9	Numbers and numeric expression	0
61580				boho	earth, soil		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		3.2.11	Ground/Earth/Soil/Dirt	0
61572	1006,m			bok◦khoŋˍ	pig trough		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		2.1.12	Porcine	0
61573	1006,34			bok◦sa	pork <pig>		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		2.1.12	Porcine	0
61579				bolo	quickly		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		9.1.1	Adverbial uses	0
61578				bolu	stone terrace wall		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		3.2.9	Rocks and minerals	0
61576	m			bomme	woman married into a clan		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.9.3	Navel	0
147418				bopˍkhemˍ	ritual to find the cause of illness		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		10.1.1	Prepositions	0
61577				boro	toad		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		2.1.6.2	Frog/Toad	0
61571				bou	leaf		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		3.1.3	Leaves	0
61523	3344,m			bou◦to	shoulder		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.4.3	Shoulder	0
61551				bua	elder brother		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		4.7.1	Previous generation	0
61554	x			bukho	small basket		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		9.7.2	Verbs referring to size/shape	0
61553				buks-u	sow	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		2.1.12	Porcine	0
61552				bukwa	flood		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		3.2.3	Water and other liquids	0
61561				buls-a	run	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		6.7.4	Regular, Cyclic, Smoothly	0
61557				bumcari	loincloth		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		5.11.8.2.1.3	Lower body	0
61558				bumma	friend		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		4.4.2	Clans and neighbors	0
168303				bur-e	angry [he is angry]	vs.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		8.3.1.6.1	Angry	0
61559				bur-u	sew	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		5.1	Waste products	0
61556	e			buŋmiMphulə	pollen		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		3.1.2	Plant parts and types	0
61555				buŋˍ	flower		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		3.1.4	Seeds and flowers, nuts	0
61534				bəl-u	dig up	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		6.11	Digging, excavation	0
61528				bəphemə ləye	lie on the stomach	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		8.5.10.4	Falsehood	0
168300				bəppa khata	entangled [?? "top went off"]	vs.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		6.13.4	Mix	0
61529				bəpro	rocky		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		3.2.11	Ground/Earth/Soil/Dirt	0
61530				bəps-u	tie in a bundle <wrap>		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		6.13.1	Tying	0
61525				bəpə	grain (one grain)		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		3.1.6.2	Other ground and milled food	0
61527				bəp◦pə	nipple		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul				0
61533				bərpa	across / on the other side		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		9.2.8	Directions	0
168302				bəs-u	dry	v.,intr	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		6.6	Verbs requiring liquids	0
61524				bətterə	feast		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		5.5	Cooking Implements	0
168299				bəu	round	classif	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		9.7.1	Shape and size	0
61532				bəy-u	help	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		6.2.2.1	Assorted action verbs	0
168301				bəy-ə	fermented [it is fermented]	vs.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		3.1.10	Verbs involving plants	0
147402				ca natoŋə	manner of eating, with pleasure (with relish)		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		10.1.1	Prepositions	0
168284				ca nay-e	tasty [it is tasty]	vs.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.3.5.8	Eat/Devour	0
61141				caise	not tasty [it is not tasty]		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.5.3.2	Five	0
61155				calei	seed		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		3.1.4	Seeds and flowers, nuts	0
61150				cammalˍ	foodstuff		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		5.5	Cooking Implements	0
61149				cam◦dumˍ	food and drink		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		5.5	Cooking Implements	0
61144	3370,1725			cana◦ri	throat		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.3.5	Throat/Pharynx	0
61148				caphara	hoe (with blade )	?	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		5.3	Diseases	0
61147				capə məma	great-grandmother		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		4.7.1	Previous generation	0
147403				capˍ	<ghost> spirit (of a deceased person)		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul				0
61146				capˍphəpa	great-grandfather		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		4.7.1	Previous generation	0
61152				cari	ear of grain		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.2.7	Ear	0
147404				carui	young person (? youngest of sib)		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		7.1.8.3	Neutral term	0
61154				carwalə	straw (of wheat, Eleusine)		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		3.1.6.2	Other ground and milled food	0
61156				casˍ	grandchild		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		4.7.3	Later generation	0
61136	36,s			cay-ə	eat [he eats]	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.5.3.2	Five	 3
168283				cay-ə	ripe [it is ripe]	vs.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		3.1.10	Verbs involving plants	0
61151				cayomma	fly		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		2.2.6	Insects, Arachnids, and Worms	0
61183				cel-u	split (bamboo)	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		6.9.3	Chop, slice	0
61182				cema	rot (? of stone, wood)	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		3.1.10	Verbs involving plants	0
61180				cen-u	tear apart	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.8.8.1	Laugh/Smile	0
168288				cenə khat-a	wear out	v.,intr	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		9.5	Change of state	0
61193				cha	child		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.5.3.2	Five	0
61197				chabo	beehive		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		2.2.6	Insects, Arachnids, and Worms	0
61198				cham-u	split (wood)	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		6.9.3	Chop, slice	0
61199				chamei	needle		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		5.1	Waste products	0
61188				chamə	caterpillar		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		2.2.6	Insects, Arachnids, and Worms	0
61200			65:5838	chamˍləyə	sing [he sings]	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		5.1	Waste products	0
61196				chapp-u	write	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		6.2.2.9.1	Write	0
61201				chara	goat		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		2.1.8	Ovine and Hircine	0
61202				charamˍmma	nanny goat		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		4.2.10	Servants	0
61194				chau	frost		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		3.2.1	Weather and seasons	0
61195				chaŋə	glass bracelet		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		5.11	Artifacts (unclassified as yet)	0
61232				chelmˍ	bamboo mat		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		3.1.1	Names of trees and shrubs	0
61231	m			chelpace	male relatives (? of a woman)		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.9.6.1	Pregnant	0
61229	554			chemˍ	rib		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.4.4.3	Chest	0
61230	656,m			chem◦luu	urine		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.8.4	Urine/Piss	0
61233				ches-a	urinate	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		1.5.3.2	Five	0
61228				chett-u	know, recognize	v.	822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		8.3.1.12.1	Know, Believe	0
61227				cheŋˍcheŋˍyo	light (vs dark)		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		7.1.11.1	Light	0
61203				chi	sap, marrow		822	Kulung	76	2.3.2	Southern Kiranti	Rai 75 Kul	RPHH-Kul		3.1.6	Extracts and processed forms	0
