lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
465153				-a	nominative; subject case	cm	1945	Garo (Bangladesh)	81	1.7.1.2	Garo	Burling 03 Garo	RB-LMMG	0.12-II:idx	5.11	Artifacts (unclassified as yet)	0
465154				-a	neutral tense; present tense	pvs	1945	Garo (Bangladesh)	81	1.7.1.2	Garo	Burling 03 Garo	RB-LMMG	0.211-II:idx	6.13.1	Tying	0
465225				-a-ming	past tense	ts	1945	Garo (Bangladesh)	81	1.7.1.2	Garo	Burling 03 Garo	RB-LMMG	0.312-II:idx	9.1.5	Other Intervals	0
465265				-a-ri-	just; merely; simply	aa	1945	Garo (Bangladesh)	81	1.7.1.2	Garo	Burling 03 Garo	RB-LMMG	3.344-II:idx	9.1.1	Adverbial uses	0
465236				-ang-	away	aa	1945	Garo (Bangladesh)	81	1.7.1.2	Garo	Burling 03 Garo	RB-LMMG	9.312-II:idx	9.2.4	Apart	0
465295				-ba	also	ns	1945	Garo (Bangladesh)	81	1.7.1.2	Garo	Burling 03 Garo	RB-LMMG	0.14-II:idx	10.1.2.1	Compound	0
465400				-be-	very	aa	1945	Garo (Bangladesh)	81	1.7.1.2	Garo	Burling 03 Garo	RB-LMMG	3.342-II:idx	7.1.2.2	Degree	0
465448				-bi-bom	cylindrical; rounded	dns	1945	Garo (Bangladesh)	81	1.7.1.2	Garo	Burling 03 Garo	RB-LMMG	2.319-II:idx	9.7.2	Verbs referring to size/shape	0
465498				-bi-ma	female	dns	1945	Garo (Bangladesh)	81	1.7.1.2	Garo	Burling 03 Garo	RB-LMMG	4.40-II:idx	1.9.3	Navel	0
465505				-bi-pa	male	dns	1945	Garo (Bangladesh)	81	1.7.1.2	Garo	Burling 03 Garo	RB-LMMG	4.40-II:idx	1.9.6.1	Pregnant	0
465540				-bo	imperative	pvs	1945	Garo (Bangladesh)	81	1.7.1.2	Garo	Burling 03 Garo	RB-LMMG	0.215-II:idx	10.0	Grammatical Words	0
465605	2409			-bri	four	num	1945	Garo (Bangladesh)	81	1.7.1.2	Garo	Burling 03 Garo	RB-LMMG	3.3704-II:idx	9.9	Numbers and numeric expression	0
465611				-brok-	bland; spoiled; tasteless	aa	1945	Garo (Bangladesh)	81	1.7.1.2	Garo	Burling 03 Garo	RB-LMMG	3.686-II:idx	7.1.4.4	Taste	0
465612				-bru-	falsely; pretending	aa	1945	Garo (Bangladesh)	81	1.7.1.2	Garo	Burling 03 Garo	RB-LMMG	7.25-II:idx	9.6.2.1	Negative Qualities	0
465632				-cha	by means of; from; instrumental; locative; to; with	cm	1945	Garo (Bangladesh)	81	1.7.1.2	Garo	Burling 03 Garo	RB-LMMG	0.12-II:idx	10.1.1	Prepositions	0
465660				-cha-na	toward	cm	1945	Garo (Bangladesh)	81	1.7.1.2	Garo	Burling 03 Garo	RB-LMMG	0.12-II:idx	9.2.8	Directions	0
465671				-cha-ni	from	cm	1945	Garo (Bangladesh)	81	1.7.1.2	Garo	Burling 03 Garo	RB-LMMG	0.12-II:idx	10.1.1	Prepositions	0
465672				-cha-ni-ko	from	cm	1945	Garo (Bangladesh)	81	1.7.1.2	Garo	Burling 03 Garo	RB-LMMG	0.12-II:idx	10.1.1	Prepositions	0
465693				-cheng-	first	aa	1945	Garo (Bangladesh)	81	1.7.1.2	Garo	Burling 03 Garo	RB-LMMG	2.62-II:idx	9.9	Numbers and numeric expression	0
465703	2259			-chet	eight	num	1945	Garo (Bangladesh)	81	1.7.1.2	Garo	Burling 03 Garo	RB-LMMG	3.3708-II:idx	9.9	Numbers and numeric expression	0
465705				-chi	locative	cm	1945	Garo (Bangladesh)	81	1.7.1.2	Garo	Burling 03 Garo	RB-LMMG	0.12-II:idx	10.0	Grammatical Words	0
465730				-chi-king	ten	num	1945	Garo (Bangladesh)	81	1.7.1.2	Garo	Burling 03 Garo	RB-LMMG	3.3710-II:idx	9.9	Numbers and numeric expression	0
