31755	PMP *kazaŋ₂	0
31066	PPh *sukáy	0
30624	PWMP *dilat	0
32688	PPh *sabuŋ₂	0
32573	PMP *peket	0
27923	PAN *Rabiqi	0
25334	PAN *beRas	0
24834	PAN *aNak	0
32046	PWMP *tabas₂	0
31078	PWMP *sigay	0
26503	PMP *inum	0
30315	PAN *kuSkuS₁	0
26050	PPh *dúdun	1
31649	PPh *kalába	0
30492	PAN *kalih	0
33546	PPh *hábuŋ	0
25885	PAN *Cazem	0
27847	PAN *qudaŋ	0
28294	PAN *Suaji	0
27854	PAN *qujiŋ	0
33172	PPh *nisnís	0
31040	PPh *salúp	0
30259	PPh *paypáy	0
26872	PMP *laki₁	0
29918	PMP *pahuq₁	0
32143	PPh *tantán	0
31280	PWMP *suRat	0
31237	PPh *sedsed₂	0
27754	PAN *qetaq	0
32535	PPh *patáw	0
30012	PAN *paheku	0
33454	PPh *gáqud	0
30531	PAN *kaSiw	0
31675	PMP *kepkep	0
24809	PAN *amax	0
31919	PPh *kulili	1
28623	PMP *uliq₁	0
25642	PWMP *bukel	0
27742	PWMP *qepah	0
26448	PAN *ijan	0
30132	PAN *paqiC	0
26562	PWMP *itik₂	0
30482	PAN *duma	0
25175	PAN *baRiuS	0
25440	PWMP *bihaR	0
30408	PAN *likaw	0
29839	PWMP *bayaw	0
31230	PPh *saliŋsíŋ	0
30713	PWMP *suŋsuŋ₁	0
28087	PAN *saksak₁	0
30731	PMP *sakit	0
33373	PPh *dáyaw	0
30944	PMP *saŋa₁	0
27564	PAN *qalad	0
31680	PMP *kulut	0
28718	PMP *wada	0
25636	PMP *buka	0
28573	PWMP *tu(ŋ)kab	0
31177	PPh *samsám	0
31259	PMP *saq(e)buR	0
26557	PAN *ita₁	0
27429	PAN *pikpik	0
25962	PMP *dalikan	0
30361	PMP *tuluŋ	0
25730	PAN *buqaya	0
29865	PWMP *leñej	0
32971	PPh *luk(e)súh	0
31272	PWMP *sugi	0
31253	PWMP *sukat	0
33604	PPh *aRama	0
24796	PAN *ala	0
30472	PAN *luSeq	0
33455	PPh *gebáq	0
27266	PWMP *pale(n)tik	0
31621	PPh *kab(e)lít	0
28317	PAN *Suni	0
28226	PAN *Siket	0
30878	PWMP *guyud₃	0
30572	PMP *putiq	0
30302	PAN *kawil₁	0
30216	PAN *baSaw	0
24864	PAN *apu	0
25826	PAN *buŋa	0
31342	PWMP *sabit	0
30744	PMP *taytay	0
33726	PPh *alaŋ	0
29847	PAN *panaq	0
24831	PAN *amin	0
30830	PAN *maCa	0
24954	PWMP *aŋkat	0
31677	PAN *kiskis	0
25551	PAN *bituqen	0
30604	PMP *dapuR₁	0
30955	PAN *tuzuq₁	0
31279	PPh *súput	0
25935	PAN *CumeS	0
30671	PAN *SeReC	0
26653	PAN *kapkap	0
31180	PAN *saqit	0
26357	PMP *hipaR₁	0
26713	PAN *keNa	0
32104	PWMP *tapay	0
30124	PMP *datu	0
27249	PMP *palaj₁	0
30866	PWMP *sumpaq	0
27079	PMP *lu(ŋ)kas	0
26473	PAN *iluR₂	0
30173	PAN *daŋdaŋ₁	0
31922	PWMP *kapal	0
24890	PAN *asu₁	0
28670	PPh *ugtu	0
30680	PMP *giliŋ	0
25883	PAN *Cau	0
25651	PMP *bukut	0
28293	PAN *Suab	0
25469	PMP *bili	0
25439	PPh *big(e)láq	0
31843	PWMP *kuskus₂	0
30190	PMP *niuR	0
25658	PAN *bulaN	0
25196	PMP *batek	0
31425	PWMP *saŋgaq	0
26425	PAN *ibaS	0
33268	PPh *láyug	0
30886	PPh *getget₂	0
24957	PMP *aŋkup₁	0
30923	PAN *-ku	0
30653	PMP *luas₁	0
30583	PAN *NiSawa	0
25239	PAN *baŋuN	0
31125	PAN *sabsab	0
30753	PAN *telu	0
33360	PPh *minsan	0
31215	PWMP *suruŋ	0
30908	PAN *zawa₂	0
31624	PAN *kawayan	0
27710	PAN *qañud	0
30186	PAN *peNuq	0
30416	PMP *maja	0
32226	PAN *tastas	0
30442	PMP *zaqit	0
25203	PPh *baybáy	0
30010	PAN *dapaN	0
31246	PPh *sípiŋ	0
31093	PWMP *saweqaq	1
33033	PPh *lamán	0
28187	PAN *Sepat	0
32665	PPh *pusít	0
25465	PWMP *bilin	0
30719	PPh *dítaq	0
24792	PAN *aku	0
31067	PWMP *tadtad	0
31821	PMP *kiDkiD	0
26428	PMP *ibeR	0
31614	PWMP *kaban₂	0
30589	PAN *ŋaŋa₂	1
30928	PAN *si₁	0
31202	PMP *sagu₁	0
25647	PAN *bukij	0
30703	PWMP *sulit₁	0
26820	PAN *kupit	0
32286	PPh *talagá	0
33426	PPh *bawas	0
25140	PAN *baqeRuh	0
32602	PMP *luslus	0
32943	PMP *lebleb₂	0
31143	PPh *dúyan	0
31079	PMP *siwaŋ	0
25129	PMP *banua	0
28668	PAN *huRaC	0
27843	PMP *qubi	0
25205	PMP *bayuR	0
33383	PWMP *damay	0
26846	PWMP *kutkut₁	0
25053	PAN *bales₁	0
31176	PWMP *salin	0
27538	PAN *qabaRa₁	0
25876	PAN *Capa	0
31182	PPh *sáysay	0
26553	PAN *iSu	0
30839	PAN *pukpuk	0
25340	PAN *beRek	0
27609	PAN *qaNiŋu	0
