C	c
C̀	c
C̄	c
C̨̄	c
Č	c
Č́	c
Č̄	c
C̨	c
G	g
L	l 
N	n
S	s
T	t
Z	z
b	b
b'	bj
bb	bb
bˈ	bj
b́	bj
c	c
c'	c’
cc	cc
cˈ	c’
c̀	c’
č	ṯʃ
č́	ṯʆ
č́č́	ṯṯʆ
ć	ṯɕ
d	d
d'	dʲ
dd	dd
dˈ	dʲ
d́	dʲ
d̍	dʲ
f	f
ff	Ff
g	g
g'	gʲ
g`	gʲ
gg	gg
gˈ	gʲ
ǵ	gʲ
g̑	gʲ
g̜	gʲ
g̬	gʲ
h	h
h'	h
h˘	h
h̄ˈ	h
h̭	h
j	j
jj	jj
j˴	j
j̀	j
j̆	j
j̮	j
k	k
k'	k’
k`	k’
kk	kk
kḱ͔	kk
kʽ	k’
kˈ	k’
kˋ	k’
k˳	k
k̀	k’
k̀́	k’
k͕̀	k’
ḱ	k’
ḱ͕	k’
ḱ͕ḱ͕	kk’
k̄	k’
k͕̄	k’
k̆	k’
k͔̕	k’
ḳ	k’
k̨	k’
k͔	k’
k͔k͔	kk’
k͕	k’
k͕k͕	kk’
l	l
l'	lj
ll	ll
lˈ	lj
ĺ	lj
l̄	lj
l̨̄	lj
l͔̄	lj
l͔̑	lj
l̔	lj
ḷ	lj
l̥	l̥
l̨	lj
l̨l̨	lj
l͑	lj
l͔	lj
m	m
mm	mm
mˈ	mʲ
m̀	mʲ
ḿ	mʲ
m̄	m
m̥	m̥
n	n
n'	ɲ
n`	ɲ
nn	nn
ń	ɲ
ń̄	ɲ
n̄	ɲ
n̨̄	ɲ
n̆	ɲ
ṇ	ṇ
n̨	ṇ
n̨n̨	ṇ
p	p
p'	pʲ
p`	pʲ
pp	pp
p°	p
pˈ	pʲ
p̀	pʲ
ṕ	pʲ
p̄	p
p̆	p
q	q
qq	qq
r	r 
r'	rʲ
r`	rʲ
rr	rṟ
rʽ	rʲ
rˈ	rʲ
r˴	rʲ
r̀	rʲ
ŕ	rʲ
r̄	rṟ
r̨̄	rṟ
r͔̄	rṟ
r̆	rṟ
r̖	rṟ
r̨	rṟ
r͔	rṟ
r΄	rʲ
s	s
s'	sʲ
s`	sʲ
ss	ss
sˈ	sʲ
s̀	sʲ
s̨̀	sʲ
ś	sʲ
s̄	s
s̨̄	sʲ
s̨̄ˈ	sʲ
s̮̄	sʲ
š	ʃ
š́	ʆ
š́ˋ	ʆ
š́̆	ʆ
š̨́	ʆ
š̄	ʆ
š̨̄	ʆ
ṣ̌	ṣ
š̨	ṣ
š̨š̨	ṣṣ
s̨	ʃ
s̨s̨	ʃʃ
t	t
t'	t’
tt	tt
ttt	ttt
tˈ	t’
tˊˋ	t’
tˋ	t’
t̀	t’
t̀́	t’
t̨̀	t’
t́	t’
t́'	t’
t́t́	tt’
t̨́	t’
t̄	t’
ṭ̄	ṭ
t̨̄	ṭ
t̆	t
t̨̆	t
t̍	t
t̕	t
t̨	t
t̨t̨	tt
v	v
vv	vv
vˈ	vʲ
v̄	v
w	w
w'	wʲ
wˈ	wʲ
w̆	w
w̮̆	w
x	x
x̄	x
y	j
yy	jj
ȳ	j
z	z
zz	zz
ź	ʑ
ž	ʒ
ž́	ʒ
ð	ð
ñ	ɲ
ññ	ɲɲ
ć	ṯɕ
ćć	ṯṯɕ
č	ṯʃ
č'	ṯʆ
čč	ṯṯʃ
čˈ	ṯʆ
ď	dʲ
ďď	ddʲ
đ	ð
đ'	ð
đđ	ðð
đˈ	ð
ľ	lj
ľľ	lḻʲ
ľ́	lj
ľ̄́	lj
ł	l
łł	ll
ń	ɲ
ńń	ɲɲ
ńʽ	ɲ
ŋ	ŋ
ŋ'	ŋʲ
ŋŋ	ŋŋ
ŋˈ	ŋʲ
ŋ˳	ŋ˳
ŋ́	ŋʲ
ŋ̄	ŋʲ
ŋ̥	ŋ˳
ŕ	rṟʲ
ř	rṟʲ
ś	ʆ
śś	ʆʆ
š	ʃ
š'	ʆ
šš	ʃʃ
šˈ	ʆ
š́	ʆ
ť	t’
ŧ	t’
ŧ'	t’
ŧŧ	tt’
ŧˈ	t’
ź	ʑ
ž	ʒ
ƞ	ŋ
ƞˉ͔	ŋ
ƞ̄	ŋ
ƞ͔	ŋ
ƞ͕̄	ŋ
ǯ	ḏʒ
ǯ´	ḏʓ
ǯ´ǯ´	ḏḏʓ
ǯǯ	ḏḏʒ
ǯˈ	ḏʓ
ǯ́	ḏʓ
ǵ	ǵ
ɢ	ɢ
ɢ̀	ɢ
ɢ͕̀́ˈ	ɢ
ɢ̄	ɢ
ɢ͕̆	ɢ
ɢ͕	ɢ
ɴ	ŋ
ʃ	ʃ
ʃʃ	ʃʃ
ʋ	v
ʒ	ʒ
ʒ'	ʓ
ʒʒ	ʒʒ
ʒˈ	ʓ
ʒ́	ʓ
ʒ́ʒ́	ʓʓ
ʔ	ʔ
ʙ	β
ʙ̀	β
ʙ̄	β
ʜ	ɦ
ʜ`	ɦ
ʜ̆	ɦ
ʟ	ʟ
ʟ́	ʟ
ʧ	ṯʃ
ʫ	ɮˤ
·	·
β	β
γ	ɣ
γˊ	ɣʲ
γˋ	ɣʲ
γ˳	ɣ
γ̄	ɣ
δ	ð
δˉ	ð
δ̄	ð
δ̕	ð
δδ	ðð
ν	v
ν́	v
φ	ɸ
χ	χ
χˉ͔	χ
χ˳	χ
χ́	χ
χ̄	χ
χ̤	χ
χ̤́	χ
χ̥	χ
ϑ	θ
б	ð
в	b
г	g
гъ	gʲ
д	d
е	e
ж	ʒ
з	z
и	и
й	й
к	k
л	l
л˴	lj
л̄	l
лл	ll
лъ	l
м	m
мъ	mʲ
н	N
о	o
п	p
пъ	pʲ
р	p
рр	pp
рь	p
с	ts
съ	ts
сь	ts
т	t
тъ	t’
х	x
хъ	x
ч	ṯʃ
чь	ṯʃ
ш	ʃ
ш̆	ʃ
щ	ʃṯʃ
ѕ	s
ӡ̌́	ʓ
ᴅ	d
ᴅ̀	dʲ
ᴅ̀́	d
ᴅ̨̀	d
ᴅ́	dʲ
ᴅ́̀	dʲ
ᴅ̄	d
ᴅ̨̄	d
ᴅ̆	d
ᴅ̨	d
ᴅ̨ᴅ̨	dd
ᴅᴅ	dd
ᴘ	P
ᴛ	t
ᴢ	z
ᴢ̌́	ʓ
