D	d
G	h
H	h
K	k
L	l
M	m
N	n
R	r
S	s
T	t
V	v
X	x
Z	z
b	b
bh	bʰ
bʰ	bʰ
bʷ	b
c	c
ch	cʰ
d	d
dh	dʰ
dʰ	dʰ
f	f
g	g
gh	gʰ
gʰ	gʰ
h	h
j	ḏʒ
jh	ḍẓʰ
k	k
kh	kʰ
kʷ	kʷ
kʸ	kʲ
l	l
lh	l
lʸ	lj
m	m
mh	m̥
mʷ	mʷ
mʷmʷ	mʷ
n	n
nh	n̥
p	p
ph	pʰ
pʰ	pʰ
pʷ	pʷ
q	q
r	r
s	s
sh	
t	t
th	tʰ
tʰ	tʰ
v	v
vh	v
w	w
wh	f
x	x
y	j
z	z
ð	ð
ñ	ɲ
č	ṯʃ
đ	ð
ń	ɲ
ŋ	ŋ
ŕ	ṟʲ
ƀ	β
ƚ	ɬ
ǥ	g
Ɂ	Ɂ
ɓ	ɓ
ɖ	ɖ
ɗ	ɗ
ɣ	ɣ
ɫ	ɫ
ɬ	ɬ
ɭ	ɭ
ɮ	ɮ
ʃ	ʃ
ʄ	ʄ
ʈ	ʈ
ʔ	ʔ
β	β
γ	γ
θ	θ
ϕ	ϕ
ᵐb	b
ḍ	ḍ
ḱ	c
ḷ	ḷ
ḷ	ḷ
ṕ	pʲ
ṛ	ṛ
ṭ	ṭ
C	c
