397	V_V	k	x
400	_C	p	ɸ
400	_C	t	θ
400	_C	k	x
419	_#	k	x
441	_	pʰ	ɸ
441	_	tʰ	θ
441	_	kʰ	x
442	#_	pʰ	f
442	#_	tʰ	θ
442	#_	kʰ	x
442	#_	kʷʰ	xʷ
444	_	pʰ	ɸ
444	_	tʰ	θ
444	_	kʰ	x
445	_	tʰ	
446	_	pʰ	f
447	_	pʰ	f
448	_	pʰ	ɸ
448	_	kʰ	x
449	_	pʰ	ɸ
450	#_	pʰ	ɸ
451	_	pʰ	ɸ
453	_	kʰ	x
454	_	kʰ	x
455	_	kʰ	x
456	_	kʰ	x
458	V_V	b̤ʱ	β̤ʱ 
458	V_V	d̤ʱ	ð̤̤ʱ 
458	V_V	g̈ʱ	γ̈ʱ 
461	V_V	b̤ʱ	β
461	V_V	d̤ʱ	ð
462	V_V	bʱ̤	βֵ
462	V_V	dʱ̤	ðֵ
462	V_V	gʱ̈	ɣֵ
463	V_V	b̤ʱ	β
463	V_V	d̤ʱ	ð
464	_	b̤ʱ	β
464	_	gʰ	ɣ
465	V_V	pf	ff
465	V_V	ts̪̪	ss̪
465	V_V	̪ kx	xx
467	V_	pʰ	ɸ
467	V_	tʰ	s
467	V_	kʰ	x
468	#_	pf	f
469	#_	kx	x
478	_	ts	s
478	_	dz	z
478	_	ts’	s’
479	_	ts	s
479	_	dz	z
479	_	ts’	s’
480	_	ts	s
480	_	dz	z
480	_	ts’	s’
481	_	ts	s
481	_	ṭṣʰ	ṣ
481	_	dz	z
482	_	ts	s
482	_	dz	z
483	_	ts	s
483	_	dz	z
484	_	ts	s
484	_	dz	z
485	_	ts	s
485	_	dz	z
486	_	ts	s
486	_	dz	z
488	_	ṯʆ	ʆ
488	_	ṯʆ’	ʆ’
488	_	ḏʓ	ʓ
489	_	ṯʃ	ʃ
489	_	ḏʒ	ʒ
489	_	ṯʃ’	ʃ’
490	_	ṯʃ	ʃ
490	_	ḏʒ	ʒ
491	_	ṯʃ	ʃ
491	_	ḏʒ	ʒ
492	_	ṯʆ	ʃ
492	_	ḏʓ	ʒ
493	_	ṯɕ	ɕ
493	_	ḏʑ	ʑ
496	_	ts	s
496	_	̪ ts’	s’̪
496	_	dz	z̪
497	_	ts	s
497	_	̪ dz	z̪
498	_	ts	s̪
499	_	ts	s
499	_	̪ dz	z̪
500	_	ts	s
500	_	̪ dz	z̪
501	_	ts	s
501	_	̪ dz	z̪
504	_	ṭṣ	ṣ
504	_	ṯɕ	ɕ
505	_	ṭṣ	ṣ
505	_	ṯʆ	ʆ
506	_	ts	s ̀
507	_	ts	s ̺
508	_	ts	s̪ 
509	_	ts	ss
513	_	ts	s
514	_	ts	s
515	_	ts	s
516	_	ts	s
517	_	ts	s
518	_	ts	s
520	_	ts	s
524	_	tts	ss
525	_	ṯʆ	s ̺
526	_	ṯʃ	ʃ
527	_	ṯʃ	ʃ
528	_	ṯʃ	ʃ
529	_	ṯʆ	ʆ
530	_	ṯʆ	ʆ
531	_	ṯʆ	ʆ
532	_	ṯʆ	ʆ
533	_	ṯʆ	ʆ
534	_	ṯʆ	ʆ
535	_	ṭṣ	ṣ
536	_	ṭṣ	ṣ
537	_	ṭṣ	ṣ
538	_	ṭṣ	ṣ
540	_	ṯɕ	ɕ
542	_	ṯʆ	ʆ
543	_	ṯʆ	ʆ
546	_	ṯɕ	ɕ
547	_	ṯɕ	ɕ
548	_	ṯɕ	ɕ
549	_	ṯɕ	ɕ
550	_	dz	z
550	_	ḍẓ	ẓ
551	_	dz	z
551	_	ḏʓ	ʓ
552	_	dz	z
552	_	ḏʓ	ʓ
554	_	dz	z
554	_	ḏʓ	ʓ
555	_	dz	z
555	_	ḏʒ	ʒ
556	_	dz	z
557	_	dz	z
558	_	dz	z
559	_	dz	z
561	_	dz	z
562	_	dz	z
563	_	dz	z̪
564	_	dz	z
565	_	dzʲ	zʲ
566	_	dzʲ	zʲ
568	_	ḏʓ	ʓ
569	_	ḏʓ	ʓ
570	_	ḏʓ	ʓ
571	_	ḏʓ	ʓ
573	_	ḏʒ	ʒ
574	_	ḏʒ	ʒ
576	_	ḏʒ	ʒ
577	_	ḏʒ	ʒ
578	_	ḏʒ	ʒ
579	_	ḏʒ	ʒ
581	_	ḏʓ	ʓ
582	#_	ḍẓ	ẓ
583	_	ḏʓ	ʓ
586	_	ḏʑ	ʓ
587	_	ḏʑ	ʑ
590	V_	ṯʃ	ʃ
590	V_	ḏʒ	ʒ
593	V_V	ts	s
593	V_V	ṯʆ	ʆ
594	V_	dz̤	z
594	V_	ḏʑ̈	ʑ
596	V_	ḏʓ	ʓ
599	V_	ḏʒ	ʒ
601	V_V	ḏʓ	ʓ 
602	V_V	ḏʓ	ʓ 
603	V_V	ḏʓ	ʓ
604	V_	ḏʓ	ʓ
605	V_V	ḏʑ	ʑ
606	V_V	ṭṣ	ṣ
606	V_V	ṯɕ	ɕ
607	V_V	ṯʆ	ʆ
609	V_	ṭṣ	ṣ
610	V_	ṯɕ	ɕ
611	V_	ṯɕ	ɕ
612	#_	ts	s
613	#_	ts	s
614	#_	ts	s
615	#_	tsʲ	sʲ
616	#_	ṯʃ	ʃ
617	#_	ṭṣ	ṣ
618	#_	ḏʒ	ʒ
619	#_	ḏʒ	ʒ
621	_	tsʰ	s
621	_	d̤z̤ʱ	z
622	_	tsʰ	s
623	_	ts	s
624	_	ṯʆʰ	ʆ
625	V_V	ṭṣʰ	ṣ
626	#_	ṭṣʰ	ṣ
630	_C	ts	s
